,A Sunday Kind of Love_Etta James
0,want
1,sunday
2,kind
3,love
4,love
5,last
6,past
7,saturday
8,night
9,i’d
10,like
11,know
12,it’s
13,love
14,first
15,sight
16,want
17,sunday
18,kind
19,love
20,oh
21,yeah
22,yeah
23,want
24,love
25,that’s
26,square
27,can’t
28,seem
29,find
30,somebody
31,someone
32,care
33,i’m
34,lonely
35,road
36,leads
37,nowhere
38,need
39,sunday
40,kind
41,love
42,sunday
43,dreaming
44,oh
45,yeah
46,sunday
47,scheming
48,every
49,minute
50,every
51,hour
52,every
53,day
54,oh
55,i’m
56,hoping
57,discover
58,certain
59,kind
60,lover
61,show
62,way
63,arms
64,need
65,someone
66,someone
67,enfold
68,keep
69,warm
70,mondays
71,tuesdays
72,grow
73,cold
74,love
75,life
76,hold
77,oh
78,want
79,sunday
80,kind
81,love
82,oh
83,yeah
84,yeah
85,yeah
86,don’t
87,want
88,monday
89,tuesday
90,wednesday
91,thursday
92,friday
93,saturday
94,oh
95,nothing
96,sunday
97,oh
98,yeah
99,want
100,sunday
101,sunday
102,want
103,sunday
104,kind
105,love
106,oh
107,yeah
108,sunday
109,sunday
110,sunday
111,kind
112,love
