,Marry Me_Train
0,forever
1,never
2,long
3,enough
4,feel
5,like
6,i've
7,long
8,enough
9,forget
10,world
11,let
12,see
13,there's
14,one
15,thing
16,left
17,prechorus
18,weight
19,lifted
20,love
21,surely
22,shifted
23,way
24,marry
25,today
26,everyday
27,marry
28,ever
29,get
30,nerve
31,say
32,hello
33,cafe
34,say
35,mmhm
36,say
37,mmhm
38,together
39,never
40,close
41,enough
42,feel
43,like
44,close
45,enough
46,wear
47,white
48,'ll
49,wear
50,words
51,love
52,beautiful
53,prehook
54,variation
55,wait
56,love
57,finally
58,shown
59,way
60,marry
61,today
62,everyday
63,marry
64,ever
65,get
66,nerve
67,say
68,hello
69,cafe
70,say
71,mmhm
72,say
73,mmhm
74,promise
75,always
76,happy
77,side
78,promise
79,sing
80,music
81,dies
82,marry
83,today
84,everyday
85,marry
86,ever
87,get
88,nerve
89,say
90,hello
91,cafe
92,say
93,mmhm
94,say
95,mmhm
96,marry
97,mmhm
