,Jesus to a Child_George Michael
0,kindness
1,eyes
2,guess
3,heard
4,cry
5,smiled
6,like
7,jesus
8,child
9,i'm
10,blessed
11,know
12,heaven
13,sent
14,heaven
15,stole
16,smiled
17,like
18,jesus
19,child
20,learned
21,pain
22,thought
23,never
24,feel
25,anyone
26,anything
27,know
28,find
29,love
30,know
31,exists
32,lover
33,miss
34,come
35,cold
36,cold
37,nights
38,loved
39,know
40,holds
41,bliss
42,lover
43,kissed
44,comfort
45,there's
46,hope
47,sight
48,sadness
49,eyes
50,one
51,guessed
52,one
53,tried
54,smiled
55,like
56,jesus
57,child
58,loveless
59,cold
60,last
61,breath
62,saved
63,soul
64,smiled
65,like
66,jesus
67,child
68,learned
69,tears
70,i've
71,waited
72,years
73,began
74,took
75,love
76,away
77,still
78,say
79,find
80,love
81,know
82,exists
83,lover
84,miss
85,come
86,cold
87,cold
88,nights
89,loved
90,know
91,holds
92,bliss
93,lover
94,kissed
95,comfort
96,there's
97,hope
98,sight
99,words
100,could
101,say
102,i'll
103,sing
104,love
105,would
106,made
107,i'll
108,make
109,two
110,every
111,single
112,memory
113,become
114,part
115,always
116,love
117,well
118,i've
119,loved
120,know
121,love
122,lover
123,kissed
124,always
125,side
126,oh
127,lover
128,still
129,miss
130,jesus
131,child
