,Dear Future Husband_Meghan Trainor
0,dear
1,future
2,husband
3,here's
4,things
5,need
6,know
7,wanna
8,one
9,life
10,take
11,date
12,deserve
13,babe
14,forget
15,flowers
16,every
17,anniversary
18,'cause
19,treat
20,right
21,i'll
22,perfect
23,wife
24,buying
25,groceries
26,buybuying
27,need
28,got
29,baby
30,thinkin'
31,i'll
32,home
33,baking
34,apple
35,pies
36,never
37,learned
38,cook
39,write
40,sing
41,along
42,sing
43,sing
44,along
45,hey
46,prechorus
47,gotta
48,know
49,treat
50,like
51,lady
52,even
53,i'm
54,actin'
55,crazy
56,tell
57,everything's
58,alright
59,dear
60,future
61,husband
62,here's
63,things
64,need
65,know
66,wanna
67,one
68,life
69,dear
70,future
71,husband
72,wanna
73,get
74,special
75,loving
76,tell
77,i'm
78,beautiful
79,every
80,night
81,woo
82,every
83,fight
84,apologize
85,maybe
86,i'll
87,let
88,try
89,rock
90,body
91,right
92,even
93,wrong
94,know
95,i'm
96,never
97,wrong
98,disagree
99,disagree
100,prechorus
101,gotta
102,know
103,treat
104,like
105,lady
106,even
107,i'm
108,actin'
109,crazy
110,tell
111,everything's
112,alright
113,alright
114,dear
115,future
116,husband
117,here's
118,things
119,need
120,know
121,wanna
122,one
123,life
124,hey
125,baby
126,hey
127,dear
128,future
129,husband
130,make
131,time
132,leave
133,lonely
134,we'll
135,never
136,see
137,family
138,mine
139,i'll
140,sleeping
141,left
142,side
143,bed
144,hey
145,open
146,doors
147,might
148,get
149,kisses
150,dirty
151,mind
152,classy
153,guy
154,buy
155,ring
156,buy
157,buy
158,ring
159,babe
160,prechorus
161,gotta
162,know
163,treat
164,like
165,lady
166,even
167,i'm
168,actin'
169,crazy
170,tell
171,everything's
172,alright
173,woo
174,dear
175,future
176,husband
177,here's
178,things
179,need
180,know
181,wanna
182,one
183,life
184,dear
185,future
186,husband
187,wanna
188,get
189,special
190,lovin'
191,tell
192,i'm
193,beautiful
194,every
195,night
196,that's
197,right
198,oh
199,whoa
200,future
201,husband
202,better
203,love
204,right
