,Someday You Will Be Loved_Death Cab for Cutie
0,knew
1,girl
2,years
3,youth
4,eyes
5,like
6,summer
7,beauty
8,truth
9,morning
10,fled
11,left
12,note
13,read
14,someday
15,loved
16,cannot
17,pretend
18,felt
19,regret
20,cause
21,broken
22,heart
23,eventually
24,mend
25,blood
26,runs
27,red
28,needle
29,thread
30,someday
31,loved
32,loved
33,loved
34,like
35,never
36,known
37,memories
38,seem
39,like
40,bad
41,dreams
42,series
43,blurs
44,like
45,never
46,occurred
47,someday
48,loved
49,may
50,feel
51,alone
52,falling
53,asleep
54,every
55,time
56,tears
57,roll
58,cheek
59,know
60,heart
61,belongs
62,someone
63,yet
64,meet
65,someday
66,loved
67,loved
68,loved
69,like
70,never
71,known
72,memories
73,seem
74,like
75,bad
76,dreams
77,series
78,blurs
79,like
80,never
81,occurred
82,someday
83,loved
84,loved
85,loved
86,like
87,never
88,known
89,memories
90,seem
91,like
92,bad
93,dreams
94,series
95,blurs
96,like
97,never
98,occurred
99,someday
100,loved
101,someday
102,loved
