,Forrest Gump_Frank Ocean
0,wanna
1,see
2,pom
3,poms
4,stands
5,come
6,come
7,fingertips
8,lips
9,burn
10,cigarettes
11,forrest
12,gump
13,run
14,mind
15,boy
16,running
17,mind
18,boy
19,forrest
20,gump
21,know
22,forrest
23,know
24,hurt
25,beetle
26,buff
27,strong
28,i'm
29,nervous
30,forrest
31,forrest
32,gump
33,fingertips
34,lips
35,burn
36,cigarettes
37,forrest
38,gump
39,run
40,mind
41,boy
42,running
43,mind
44,boy
45,forrest
46,gump
47,saw
48,game
49,forrest
50,screaming
51,run
52,fortyfour
53,kept
54,running
55,past
56,end
57,zone
58,oh
59,where'd
60,go
61,forrest
62,forrest
63,gump
64,fingertips
65,lips
66,burn
67,cigarettes
68,forrest
69,gump
70,run
71,mind
72,boy
73,running
74,mind
75,boy
76,forrest
77,gump
78,forrest
79,green
80,forrest
81,blues
82,i'm
83,remembering
84,love
85,know
86,true
87,forget
88,oh
89,forrest
90,oh
91,forrest
92,forrest
93,gump
