,Neon_John Mayer
0,sky
1,blue
2,gets
3,dark
4,enough
5,see
6,colors
7,city
8,lights
9,trail
10,ruby
11,red
12,diamond
13,white
14,hits
15,like
16,sunrise
17,prechorus
18,comes
19,goes
20,comes
21,goes
22,like
23,one
24,tonight
25,lose
26,find
27,high
28,peachtree
29,street
30,mixed
31,drinks
32,techno
33,beats
34,always
35,heavy
36,everything
37,prechorus
38,comes
39,goes
40,comes
41,goes
42,like
43,one
44,comes
45,goes
46,one
47,knows
48,slipping
49,hands
50,always
51,buzzing
52,like
53,neon
54,neon
55,neon
56,neon
57,knows
58,long
59,long
60,long
61,go
62,burns
63,away
64,can't
65,angel
66,know
67,place
68,hold
69,hard
70,take
71,stand
72,would
73,take
74,anyway
75,prechorus
76,comes
77,goes
78,like
79,one
80,comes
81,goes
82,slipping
83,hands
84,always
85,buzzing
86,like
87,neon
88,neon
89,neon
90,neon
91,knows
92,long
93,long
94,long
95,go
96,burns
97,away
98,prechorus
99,comes
100,goes
101,like
102,one
103,comes
104,goes
105,slipping
106,hands
107,always
108,buzzing
109,like
110,neon
111,neon
112,neon
113,neon
114,knows
115,long
116,long
117,long
118,go
119,burns
120,away
