,Everything Has Changed_Taylor Swift
0,ed
1,sheeran
2,good
3,go
4,taylor
5,swift
6,knew
7,morning
8,woke
9,know
10,something
11,know
12,something
13,i've
14,seen
15,since
16,hours
17,ago
18,green
19,eyes
20,freckles
21,smile
22,back
23,mind
24,making
25,feel
26,like
27,prechorus
28,taylor
29,swift
30,ed
31,sheeran
32,wanna
33,know
34,better
35,know
36,better
37,know
38,better
39,wanna
40,know
41,better
42,know
43,better
44,know
45,better
46,wanna
47,know
48,better
49,know
50,better
51,know
52,better
53,wanna
54,know
55,know
56,know
57,taylor
58,swift
59,ed
60,sheeran
61,'cause
62,know
63,said
64,hello
65,eyes
66,look
67,like
68,coming
69,home
70,know
71,simple
72,name
73,everything
74,changed
75,know
76,held
77,door
78,mine
79,i'll
80,know
81,since
82,yesterday
83,everything
84,changed
85,ed
86,sheeran
87,taylor
88,swift
89,walls
90,stood
91,tall
92,painted
93,blue
94,i'll
95,take
96,'em
97,take
98,'em
99,open
100,door
101,feel
102,stomach
103,butterflies
104,beautiful
105,kind
106,making
107,lost
108,time
109,taking
110,flight
111,making
112,feel
113,right
114,prechorus
115,taylor
116,swift
117,ed
118,sheeran
119,wanna
120,know
121,better
122,know
123,better
124,know
125,better
126,wanna
127,know
128,better
129,know
130,better
131,know
132,better
133,wanna
134,know
135,better
136,know
137,better
138,know
139,better
140,wanna
141,know
142,know
143,know
144,taylor
145,swift
146,ed
147,sheeran
148,'cause
149,know
150,said
151,hello
152,eyes
153,look
154,like
155,coming
156,home
157,know
158,simple
159,name
160,everything
161,changed
162,know
163,held
164,door
165,mine
166,i'll
167,know
168,since
169,yesterday
170,everything
171,changed
172,taylor
173,swift
174,ed
175,sheeran
176,come
177,back
178,tell
179,i'm
180,feeling
181,like
182,i've
183,missed
184,time
185,meet
186,tonight
187,let
188,know
189,mind
190,prechorus
191,taylor
192,swift
193,wanna
194,know
195,better
196,know
197,better
198,know
199,better
200,wanna
201,know
202,know
203,know
204,taylor
205,swift
206,ed
207,sheeran
208,'cause
209,know
210,said
211,hello
212,eyes
213,look
214,like
215,coming
216,home
217,know
218,simple
219,name
220,everything
221,changed
222,know
223,held
224,door
225,mine
226,i'll
227,know
228,since
229,yesterday
230,everything
231,changed
232,taylor
233,swift
234,know
235,said
236,hello
237,dust
238,highest
239,hopes
240,know
241,pouring
242,rain
243,everything
244,changed
245,know
246,new
247,found
248,grace
249,days
250,i'll
251,know
252,face
253,know
254,since
255,yesterday
256,everything
257,changed
