,Brown Skin Lady_Black Star
0,sample
1,chameleon
2,street
3,smooth
4,got
5,good
6,hair
7,william
8,douglas
9,street
10,like
11,smooth
12,like
13,girls
14,light
15,complexion
16,street
17,moron
18,smooth
19,can't
20,help
21,street
22,moron
23,smooth
24,yeah
25,street
26,first
27,one
28,dashiki
29,talking
30,crap
31,smooth
32,i'm
33,victim
34,street
35,good
36,hair
37,nigga
38,brainwashed
39,smooth
40,i'm
41,victim
42,brother
43,street
44,'victim'
45,smooth
46,i'm
47,victim
48,400
49,years
50,conditioning
51,street
52,shut
53,smooth
54,man
55,programmed
56,conditioning
57,street
58,mhm
59,smooth
60,even
61,conditioning
62,conditioned
63,talib
64,kweli
65,mos
66,def
67,yall
68,brothers
69,came
70,mothers
71,looking
72,sweet
73,black
74,star
75,keep
76,shining
77,like
78,yo
79,let
80,ask
81,somethin
82,wanna
83,know
84,wanna
85,know
86,mos
87,def
88,talib
89,kweli
90,brown
91,skin
92,lady
93,hey
94,hey
95,yes
96,goin'
97,goes
98,brown
99,skin
100,ladies
101,yo
102,brown
103,skin
104,lady
105,indigenous
106,women
107,planet
108,earth
109,doin
110,givin'
111,birth
112,brown
113,skin
114,ladies
115,first
116,brown
117,skin
118,lady
119,worth
120,feel
121,watchin'
122,mos
123,def
124,talib
125,kweli
126,like
127,way
128,walk
129,walk
130,like
131,like
132,like
133,like
134,way
135,walk
136,like
137,way
138,move
139,dance
140,yes
141,like
142,way
143,move
144,like
145,way
146,walk
147,walk
148,like
149,like
150,like
151,like
152,way
153,walk
154,like
155,way
156,move
157,dance
158,please
159,dance
160,mos
161,def
162,talib
163,kweli
164,everybody
165,avenue
166,know
167,see
168,say
169,everybody
170,avenue
171,know
172,see
173,say
174,talib
175,kweli
176,fresher
177,tony
178,rebel's
179,vegetables
180,african
181,street
182,festivals
183,incredible
184,women
185,plentiful
186,years
187,met
188,none
189,compare
190,preparing
191,make
192,fruit
193,bearable
194,somethin
195,terrible
196,let's
197,see
198,fruitful
199,beautiful
200,smart
201,lovable
202,huggable
203,doable
204,like
205,art
206,suitable
207,part
208,life
209,coppertone
210,owe
211,copyright
212,infringement
213,pay
214,tan
215,since
216,way
217,back
218,day
219,like
220,i'm
221,standin
222,know
223,appreciatin
224,god's
225,design
226,showed
227,like
228,read
229,mind
230,damn
231,fine
232,think
233,add
234,front
235,see
236,get
237,cat
238,like
239,mos
240,def
241,talib
242,kweli
243,like
244,way
245,walk
246,walk
247,like
248,like
249,like
250,like
251,way
252,walk
253,like
254,way
255,move
256,dance
257,yes
258,like
259,way
260,move
261,like
262,way
263,walk
264,walk
265,like
266,like
267,like
268,like
269,way
270,walk
271,like
272,way
273,move
274,dance
275,please
276,dance
277,refrain
278,mos
279,def
280,everybody
281,avenue
282,know
283,see
284,say
285,everybody
286,avenue
287,know
288,see
289,say
290,mos
291,def
292,ooooh
293,damn
294,baby
295,girl
296,look
297,comin
298,block
299,lookin
300,fresh
301,brand
302,new
303,ooooh
304,headwrap
305,cover
306,hairdo
307,pretty
308,feet
309,peekin
310,opentoed
311,shoe
312,ooooh
313,limit
314,would
315,make
316,love
317,like
318,long
319,interview
320,whooh
321,real
322,like
323,good
324,look
325,champion
326,win
327,title
328,true
329,many
330,man
331,try
332,invite
333,shot
334,lyric
335,time
336,cyph'
337,jewel
338,man
339,ya
340,get
341,born
342,inside
343,zoo
344,feet
345,walk
346,way
347,let
348,pass
