,Punchdrunk Lovesick Singalong_Radiohead
0,wrapped
1,inside
2,coat
3,came
4,firebomb
5,house
6,feel
7,pain
8,'cause
9,one
10,touch
11,i'm
12,held
13,spell
14,beautiful
15,girl
16,beautiful
17,girl
18,turn
19,world
20,dust
21,sell
22,car
23,goes
24,sell
25,house
26,stands
27,never
28,cared
29,never
30,cared
31,never
32,cared
33,beautiful
34,girl
35,beautiful
36,girl
37,turn
38,world
39,dust
40,beautiful
41,girl
42,beautiful
43,girl
44,turn
45,world
46,dust
47,stood
48,front
49,face
50,first
51,bullet
52,shot
