,Honestly_Cartel
0,please
1,mind
2,i'm
3,trying
4,say
5,'cause
6,i'm
7,i'm
8,honest
9,tell
10,part
11,reason
12,i'm
13,set
14,rest
15,life
16,part
17,tell
18,think
19,open
20,honest
21,'cause
22,things
23,never
24,guess
25,i'll
26,see
27,i'll
28,see
29,around
30,i'm
31,spinning
32,i'm
33,falling
34,know
35,i'm
36,begging
37,stay
38,waste
39,time
40,getting
41,point
42,'cause
43,i'm
44,i'm
45,patiently
46,waiting
47,next
48,phone
49,call
50,next
51,excuse
52,losing
53,sleep
54,tell
55,think
56,open
57,honest
58,'cause
59,things
60,never
61,guess
62,i'll
63,see
64,i'll
65,see
66,around
67,i'm
68,spinning
69,i'm
70,falling
71,know
72,i'm
73,begging
74,stay
75,'cause
76,can't
77,stop
78,amazing
79,know
80,can't
81,could
82,never
83,walk
84,away
85,resolve
86,let
87,go
88,wonder
89,ever
90,never
91,never
92,guess
93,i'll
94,see
95,i'll
96,see
97,around
98,i'm
99,spinning
100,i'm
101,falling
102,know
103,i'm
104,begging
105,i'm
106,begging
107,'cause
108,can't
109,stop
110,amazing
111,know
112,can't
113,could
114,never
115,walk
116,away
117,please
118,mind
119,i'm
120,trying
121,say
122,'cause
123,i'm
124,i'm
125,honest
