,If You Leave Me Now_Chicago
0,leave
1,take
2,away
3,biggest
4,part
5,ooh
6,baby
7,please
8,go
9,leave
10,take
11,away
12,heart
13,ooh
14,baby
15,please
16,go
17,ooh
18,girl
19,want
20,stay
21,love
22,like
23,love
24,that's
25,hard
26,find
27,could
28,let
29,slip
30,away
31,we've
32,come
33,far
34,leave
35,behind
36,could
37,end
38,way
39,tomorrow
40,comes
41,we'll
42,regret
43,things
44,said
45,today
46,love
47,like
48,love
49,that's
50,hard
51,find
52,could
53,let
54,slip
55,away
56,we've
57,come
58,far
59,leave
60,behind
61,could
62,end
63,way
64,tomorrow
65,comes
66,we'll
67,regret
68,things
69,said
70,today
71,leave
72,take
73,away
74,biggest
75,part
76,ooh
77,baby
78,please
79,go
80,ooh
81,girl
82,got
83,side
84,ooh
85,baby
86,please
87,go
88,ooh
89,mama
90,got
91,lovin'
