,Un-Break My Heart_Toni Braxton
0,leave
1,pain
2,leave
3,rain
4,come
5,back
6,bring
7,back
8,smile
9,come
10,take
11,tears
12,away
13,need
14,arms
15,hold
16,nights
17,unkind
18,bring
19,back
20,nights
21,held
22,beside
23,unbreak
24,heart
25,say
26,love
27,undo
28,hurt
29,caused
30,walked
31,door
32,walked
33,life
34,uncry
35,tears
36,cried
37,many
38,nights
39,unbreak
40,heart
41,heart
42,take
43,back
44,sad
45,word
46,goodbye
47,bring
48,back
49,joy
50,life
51,leave
52,tears
53,come
54,kiss
55,pain
56,away
57,can't
58,forget
59,day
60,left
61,time
62,unkind
63,life
64,cruel
65,without
66,beside
67,unbreak
68,heart
69,say
70,love
71,undo
72,hurt
73,caused
74,walked
75,door
76,walked
77,life
78,uncry
79,tears
80,cried
81,many
82,nights
83,unbreak
84,heart
85,heart
86,leave
87,pain
88,leave
89,rain
90,bring
91,back
92,nights
93,held
94,beside
95,unbreak
96,heart
97,say
98,love
99,undo
100,hurt
101,caused
102,walked
103,door
104,walked
105,life
106,uncry
107,tears
108,cried
109,many
110,many
111,nights
112,oh
113,unbreak
114,postchorus
115,unbreak
116,heart
117,oh
118,baby
119,come
120,back
121,say
122,love
123,unbreak
124,heart
125,sweet
126,darlin'
127,without
128,can't
129,go
130,say
131,love
132,say
133,love
134,tell
135,love
136,unbreak
137,heart
138,say
139,love
140,say
141,love
142,tell
143,love
144,unbreak
145,heart
146,say
147,love
148,say
149,love
150,tell
151,love
152,unbreak
153,heart
154,say
155,love
156,say
157,love
158,tell
159,love
160,unbreak
161,heart
