,Young and Beautiful_Lana Del Rey
0,i've
1,seen
2,world
3,done
4,cake
5,diamonds
6,brilliant
7,bel
8,air
9,hot
10,summer
11,nights
12,midjuly
13,forever
14,wild
15,crazy
16,days
17,city
18,lights
19,way
20,play
21,like
22,child
23,still
24,love
25,i'm
26,longer
27,young
28,beautiful
29,still
30,love
31,got
32,nothing
33,aching
34,soul
35,know
36,know
37,know
38,still
39,love
40,i'm
41,longer
42,beautiful
43,i've
44,seen
45,world
46,lit
47,stage
48,channeling
49,angels
50,new
51,age
52,hot
53,summer
54,days
55,rock
56,roll
57,way
58,play
59,show
60,ways
61,got
62,know
63,pretty
64,face
65,electric
66,soul
67,still
68,love
69,i'm
70,longer
71,young
72,beautiful
73,still
74,love
75,got
76,nothing
77,aching
78,soul
79,know
80,know
81,know
82,still
83,love
84,i'm
85,longer
86,beautiful
87,dear
88,lord
89,get
90,heaven
91,please
92,let
93,bring
94,man
95,comes
96,tell
97,let
98,father
99,tell
100,grace
101,body
102,face
103,makes
104,wanna
105,party
106,he's
107,sun
108,makes
109,shine
110,like
111,diamonds
112,still
113,love
114,i'm
115,longer
116,young
117,beautiful
118,still
119,love
120,got
121,nothin'
122,aching
123,soul
124,know
125,know
126,know
127,still
128,love
129,i'm
130,longer
131,beautiful
132,still
133,love
134,i'm
135,longer
136,beautiful
137,still
138,love
139,i'm
140,young
141,beautiful
