,Forever Young_Youth Group
0,let's
1,dance
2,style
3,let's
4,dance
5,heaven
6,wait
7,we're
8,watching
9,skies
10,hoping
11,best
12,expecting
13,worst
14,gonna
15,drop
16,bomb
17,let
18,us
19,die
20,young
21,let
22,us
23,live
24,forever
25,power
26,never
27,say
28,never
29,sitting
30,sandpit
31,life
32,short
33,trip
34,music's
35,sad
36,men
37,imagine
38,race
39,run
40,turn
41,golden
42,faces
43,sun
44,praising
45,leaders
46,we're
47,getting
48,tune
49,music's
50,played
51,madmen
52,forever
53,young
54,want
55,forever
56,young
57,really
58,want
59,live
60,forever
61,forever
62,forever
63,like
64,water
65,like
66,heat
67,melody
68,beat
69,sooner
70,later
71,gone
72,stay
73,young
74,hard
75,get
76,old
77,without
78,cause
79,want
80,perish
81,like
82,fading
83,horse
84,youth
85,like
86,diamonds
87,sun
88,diamonds
89,forever
90,forever
91,young
92,want
93,forever
94,young
95,really
96,want
97,live
98,forever
99,forever
100,forever
101,forever
102,young
103,want
104,forever
105,young
106,really
107,want
108,live
109,forever
110,forever
111,forever
112,instrumental
113,break
114,forever
115,young
116,want
117,forever
118,young
119,really
120,want
121,live
122,forever
123,forever
124,forever
125,forever
126,young
127,want
128,forever
129,young
130,really
131,want
132,live
133,forever
134,forever
