,Coming Up Roses_Elliott Smith
0,i'm
1,junkyard
2,full
3,false
4,starts
5,need
6,permission
7,bury
8,love
9,bare
10,light
11,bulb
12,prechorus
13,moon
14,sickle
15,cell
16,it'll
17,kill
18,time
19,cold
20,white
21,brother
22,riding
23,blood
24,like
25,spun
26,glass
27,sore
28,eyes
29,moon
30,division
31,buried
32,coming
33,roses
34,everywhere
35,go
36,red
37,roses
38,follow
39,things
40,tell
41,they'll
42,kill
43,time
44,cold
45,white
46,brother
47,alive
48,blood
49,spinning
50,night
51,sky
52,moon
53,division
54,buried
55,coming
56,roses
57,everywhere
58,go
59,red
60,roses
61,got
62,kind
63,trouble
64,nobody
65,knows
66,coming
67,roses
68,everywhere
69,go
70,red
71,roses
