,First Time_Lifehouse
0,we're
1,looking
2,something
3,we've
4,afraid
5,find
6,easier
7,broken
8,easier
9,hide
10,prechorus
11,looking
12,holding
13,breath
14,life
15,i'm
16,scared
17,death
18,i'm
19,taking
20,chance
21,letting
22,inside
23,we're
24,feeling
25,alive
26,deep
27,sky
28,skin
29,like
30,love
31,says
32,first
33,time
34,well
35,maybe
36,i'm
37,wrong
38,i'm
39,feeling
40,right
41,wherever
42,belong
43,tonight
44,like
45,love
46,feel
47,first
48,time
49,world
50,see
51,inside
52,waiting
53,come
54,life
55,waking
56,dreaming
57,reality
58,eyes
59,prechorus
60,looking
61,holding
62,breath
63,life
64,i'm
65,scared
66,death
67,i'm
68,taking
69,chance
70,letting
71,inside
72,we're
73,feeling
74,alive
75,deep
76,sky
77,skin
78,like
79,love
80,says
81,first
82,time
83,well
84,maybe
85,i'm
86,wrong
87,i'm
88,feeling
89,right
90,wherever
91,belong
92,tonight
93,like
94,love
95,feel
96,first
97,time
98,first
99,time
100,first
101,time
102,we're
103,crashing
104,unknown
105,we're
106,lost
107,feels
108,like
109,home
110,feeling
111,alive
112,deep
113,sky
114,that's
115,skin
116,like
117,love
118,says
119,first
120,time
121,well
122,maybe
123,i'm
124,wrong
125,i'm
126,feeling
127,right
128,wherever
129,belong
130,tonight
131,like
132,love
133,feel
134,first
135,time
136,first
137,time
138,first
139,time
140,like
141,love
142,says
143,first
144,time
145,first
146,time
147,first
148,time
149,like
150,love
151,feel
152,first
153,time
154,first
155,time
