,"Flightless Bird, American Mouth_Iron & Wine"
0,quick
1,wet
2,boy
3,diving
4,deep
5,coins
6,street
7,light
8,eyes
9,wide
10,plastic
11,toys
12,cops
13,closed
14,fair
15,cut
16,long
17,baby
18,hair
19,stole
20,dogeared
21,map
22,called
23,everywhere
24,found
25,flightless
26,bird
27,jealous
28,weeping
29,lost
30,american
31,mouth
32,big
33,pill
34,looming
35,i'm
36,fat
37,house
38,cat
39,nursing
40,sore
41,blunt
42,tongue
43,watching
44,warm
45,poison
46,rats
47,curl
48,wide
49,fence
50,cracks
51,pissing
52,magazine
53,photos
54,fishing
55,lures
56,thrown
57,cold
58,clean
59,blood
60,christ
61,mountain
62,stream
63,found
64,flightless
65,bird
66,grounded
67,bleeding
68,lost
69,american
70,mouth
71,big
72,pill
73,stuck
74,going
