,Love You Like a Love Song_Selena Gomez & the Scene
0,said
1,done
2,every
3,beautiful
4,thought's
5,already
6,sung
7,guess
8,right
9,here's
10,another
11,one
12,melody
13,play
14,best
15,'em
16,beautiful
17,like
18,dream
19,come
20,alive
21,incredible
22,centerfold
23,miracle
24,lyrical
25,saved
26,life
27,want
28,know
29,baby
30,love
31,like
32,love
33,song
34,baby
35,love
36,like
37,love
38,song
39,baby
40,love
41,like
42,love
43,song
44,baby
45,keep
46,hitting
47,repeatpeatpeatpeatpeatpeat
48,oh
49,love
50,like
51,love
52,song
53,baby
54,oh
55,love
56,like
57,love
58,song
59,baby
60,oh
61,love
62,like
63,love
64,song
65,baby
66,oh
67,keep
68,hitting
69,repeatpeatpeatpeatpeatpeat
70,constantly
71,boy
72,play
73,mind
74,like
75,symphony
76,there's
77,way
78,describe
79,feels
80,like
81,i've
82,rescued
83,i've
84,set
85,free
86,hypnotized
87,destiny
88,magical
89,lyrical
90,beautiful
91,want
92,know
93,baby
94,love
95,like
96,love
97,song
98,baby
99,love
100,like
101,love
102,song
103,baby
104,love
105,like
106,love
107,song
108,baby
109,keep
110,hitting
111,repeatpeatpeatpeatpeatpeat
112,oh
113,love
114,like
115,love
116,song
117,baby
118,love
119,like
120,love
121,song
122,baby
123,love
124,like
125,love
126,song
127,baby
128,love
129,love
130,like
131,love
132,song
133,keep
134,hitting
135,repeatpeatpeatpeatpeatpeat
136,one
137,compares
138,stand
139,alone
140,every
141,record
142,music
143,heart
144,that's
145,song
146,goes
147,love
148,like
149,love
150,song
151,baby
152,love
153,like
154,love
155,song
156,baby
157,love
158,love
159,like
160,love
161,song
162,baby
163,love
164,keep
165,hitting
166,repeatpeatpeatpeatpeatpeat
167,like
168,love
169,song
170,like
171,love
172,song
173,love
174,like
175,love
176,song
177,baby
178,love
179,like
180,love
181,song
182,baby
183,love
184,like
185,love
186,song
187,baby
188,love
189,love
190,like
191,love
192,song
