,Jezebel_Iron & Wine
0,who's
1,seen
2,jezebel
3,born
4,woman
5,would
6,know
7,hold
8,like
9,breeze
10,half
11,tight
12,eyes
13,closed
14,who's
15,seen
16,jezebel
17,went
18,walking
19,cedars
20,line
21,road
22,blouse
23,ground
24,dogs
25,hungry
26,roaming
27,saying
28,wait
29,swear
30,we'll
31,love
32,wholly
33,jezebel
34,who's
35,seen
36,jezebel
37,born
38,woman
39,could
40,blame
41,make
42,beast
43,half
44,brave
45,i'd
46,who's
47,seen
48,jezebel
49,gone
50,ever
51,got
52,say
53,lay
54,love
55,shape
56,i'll
57,pray
58,jezebel
59,who's
60,seen
61,jezebel
62,mountain
63,last
64,long
65,wait
66,wait
67,like
68,dawn
69,aches
70,meet
71,day
72,who's
73,seen
74,jezebel
75,certainly
76,spark
77,i've
78,done
79,window
80,wide
81,could
82,see
83,dogs
84,come
85,running
86,saying
87,wait
88,swear
89,we'll
90,love
91,wholly
92,jezebel
