,Talk Dirty (feat. 2 Chainz)_Jason Derülo
0,prod
1,ricky
2,reed
3,jason
4,derulo
5,rie
6,abe
7,jason
8,haha
9,jason
10,derulo
11,haha
12,get
13,jazzy
14,'em
15,jason
16,derulo
17,i'm
18,flight
19,get
20,international
21,firstclass
22,seat
23,lap
24,girl
25,riding
26,comfortable
27,oh
28,yeah
29,ha
30,'cause
31,know
32,da
33,girl
34,dem
35,need
36,new
37,york
38,haiti
39,got
40,lipstick
41,stamps
42,passport
43,make
44,hard
45,leave
46,prechorus
47,jason
48,derulo
49,around
50,world
51,speak
52,language
53,uhhuh
54,booty
55,need
56,explaining
57,uhhuh
58,really
59,need
60,understand
61,uhhuh
62,talk
63,dirty
64,jason
65,derulo
66,talk
67,dirty
68,talk
69,dirty
70,talk
71,dirty
72,get
73,jazzy
74,'em
75,jason
76,derulo
77,know
78,words
79,songs
80,habla
81,inglés
82,oh
83,conversations
84,ain't
85,long
86,know
87,know
88,girl
89,dem
90,want
91,london
92,taiwan
93,got
94,lipstick
95,stamps
96,passport
97,think
98,need
99,new
100,one
101,prechorus
102,jason
103,derulo
104,around
105,world
106,speak
107,language
108,uhhuh
109,booty
110,need
111,explaining
112,uhhuh
113,really
114,need
115,understand
116,uhhuh
117,talk
118,dirty
119,jason
120,derulo
121,talk
122,dirty
123,talk
124,dirty
125,talk
126,dirty
127,jason
128,derulo
129,chainz
130,uno
131,met
132,friend
133,rio
134,dos
135,meo
136,tres
137,could
138,ménage
139,à
140,threeo
141,cuatro
142,oh
143,yeah
144,chainz
145,chainz
146,w
147,jason
148,derulo
149,jason
150,derulo
151,dos
152,cadenas
153,close
154,genius
155,sold
156,arenas
157,suck
158,penis
159,ooh
160,gilbert
161,arenas
162,guns
163,deck
164,deck
165,chest
166,chest
167,tongue
168,neck
169,neck
170,international
171,oral
172,sex
173,every
174,picture
175,take
176,pose
177,threat
178,yeah
179,bought
180,jet
181,expect
182,pussy
183,good
184,bought
185,pet
186,oh
187,oh
188,oh
189,oh
190,anyway
191,every
192,day
193,i'm
194,trying
195,get
196,got
197,saved
198,phone
199,big
200,booty
201,haha
202,anyway
203,every
204,day
205,i'm
206,trying
207,get
208,got
209,saved
210,phone
211,big
212,booty
213,prechorus
214,jason
215,derulo
216,around
217,world
218,speak
219,language
220,uhhuh
221,booty
222,need
223,explaining
224,uhhuh
225,really
226,need
227,understand
228,uhhuh
229,talk
230,dirty
231,jason
232,derulo
233,talk
234,dirty
235,yeah
236,yeah
237,talk
238,dirty
239,talk
240,talk
241,dirty
242,ooh
243,oh
244,yeah
245,get
246,jazzy
247,'em
248,rie
249,abe
250,understand
