,Keep You Much Longer_Akon
0,wish
1,could
2,keep
3,much
4,longer
5,know
6,gotta
7,go
8,cause
9,got
10,things
11,wish
12,could
13,keep
14,much
15,longer
16,busy
17,girl
18,like
19,posthook
20,wish
21,could
22,stop
23,maybe
24,say
25,hi
26,wish
27,could
28,stop
29,lay
30,side
31,wish
32,could
33,stop
34,maybe
35,say
36,hi
37,wish
38,could
39,stop
40,lay
41,side
42,tables
43,turned
44,i've
45,finally
46,learned
47,making
48,every
49,day
50,gone
51,that's
52,i'm
53,concerned
54,confirmed
55,spread
56,wings
57,learned
58,fly
59,alone
60,prehook
61,darkness
62,night
63,i'll
64,find
65,light
66,long
67,got
68,eyes
69,i'll
70,sight
71,long
72,i'm
73,alive
74,baby
75,i'd
76,die
77,wanna
78,wish
79,could
80,keep
81,much
82,longer
83,know
84,gotta
85,go
86,'cause
87,got
88,things
89,wish
90,could
91,keep
92,much
93,longer
94,busy
95,girl
96,like
97,posthook
98,wish
99,could
100,stop
101,maybe
102,say
103,hi
104,wish
105,could
106,stop
107,lay
108,side
109,wish
110,could
111,stop
112,maybe
113,say
114,hi
115,wish
116,could
117,stop
118,lay
119,side
120,always
121,mind
122,i'm
123,racin'
124,i'm
125,paper
126,chasin'
127,said
128,one
129,day
130,i'd
131,get
132,basement
133,playin'
134,agent
135,there's
136,replacement
137,always
138,girl
139,hold
140,statement
141,prehook
142,darkness
143,night
144,i'll
145,find
146,light
147,long
148,got
149,eyes
150,i'll
151,sight
152,long
153,i'm
154,alive
155,baby
156,i'd
157,die
158,wanna
159,wish
160,could
161,keep
162,much
163,longer
164,know
165,gotta
166,go
167,'cause
168,got
169,things
170,wish
171,could
172,keep
173,much
174,longer
175,busy
176,girl
177,like
178,posthook
179,wish
180,could
181,stop
182,maybe
183,say
184,hi
185,wish
186,could
187,stop
188,lay
189,side
190,wish
191,could
192,stop
193,maybe
194,say
195,hi
196,wish
197,could
198,stop
199,lay
200,side
201,akon
202,baby
203,know
204,exactly
205,taught
206,gotta
207,get
208,money
209,first
210,come
211,spend
212,precious
213,time
214,boo
215,know
216,gotta
217,take
218,even
219,though
220,drivin'
221,crazy
222,always
223,want
224,see
225,girl
226,make
227,ooh
228,yeah
229,wish
230,could
231,keep
232,much
233,longer
234,know
235,gotta
236,go
237,'cause
238,got
239,things
240,wish
241,could
242,keep
243,much
244,longer
245,wish
246,wish
247,could
248,keep
249,much
250,longer
251,busy
252,girl
253,like
254,posthook
255,wish
256,could
257,stop
258,maybe
259,say
260,hi
261,wish
262,could
263,stop
264,lay
265,side
266,wish
267,could
268,stop
269,maybe
270,say
271,hi
272,wish
273,could
274,stop
275,lay
276,side
277,wish
278,could
279,keep
280,much
281,longer
282,wish
283,could
284,keep
285,baby
286,know
287,gotta
288,go
289,'cause
290,got
291,things
292,wish
293,could
294,keep
295,much
296,longer
297,wish
298,could
299,keep
300,baby
301,busy
302,girl
303,like
304,posthook
305,wish
306,could
307,stop
308,maybe
309,say
310,hi
311,wanna
312,keep
313,longer
314,wish
315,could
316,stop
317,lay
318,side
319,wish
320,could
321,stop
322,maybe
323,say
324,hi
325,wanna
326,keep
327,longer
328,wish
329,could
330,stop
331,lay
332,side
333,wanna
334,keep
335,longer
336,wanna
337,keep
338,longer
