,Is This Love_Bob Marley & The Wailers
0,spoken
1,want
2,love
3,treat
4,right
5,want
6,love
7,every
8,day
9,every
10,night
11,we'll
12,together
13,roof
14,right
15,heads
16,we'll
17,share
18,shelter
19,single
20,bed
21,we'll
22,share
23,room
24,yeah
25,jah
26,provide
27,bread
28,love
29,love
30,love
31,love
32,i'm
33,feeling
34,love
35,love
36,love
37,love
38,i'm
39,feeling
40,want
41,know
42,want
43,know
44,want
45,know
46,got
47,know
48,got
49,know
50,got
51,know
52,iiiiiiiii
53,i'm
54,willing
55,able
56,throw
57,cards
58,table
59,want
60,love
61,want
62,love
63,treat
64,love
65,treat
66,right
67,want
68,love
69,every
70,day
71,every
72,night
73,we'll
74,together
75,yeah
76,roof
77,right
78,heads
79,we'll
80,share
81,shelter
82,yeah
83,oh
84,single
85,bed
86,we'll
87,share
88,room
89,yeah
90,jah
91,provide
92,bread
93,love
94,love
95,love
96,love
97,i'm
98,feeling
99,love
100,love
101,love
102,love
103,i'm
104,feeling
105,wooooah
106,oh
107,yes
108,know
109,yes
110,know
111,yes
112,know
113,yes
114,know
115,yes
116,know
117,yes
118,know
119,yes
120,yes
121,i'm
122,willing
123,able
124,throw
125,cards
126,table
127,want
128,love
129,want
130,love
131,treat
132,love
133,treat
134,right
135,want
136,love
137,every
138,day
139,every
140,night
141,we'll
142,together
143,roof
144,right
145,heads
146,we'll
147,share
148,shelter
149,yeah
150,oh
151,single
152,bed
153,we'll
154,share
155,room
156,jah
157,provide
158,bread
159,we'll
160,share
161,shelter
162,single
163,bed
164,we'll
165,share
166,room
167,jah
168,provide
169,bread
