,In My Blood_Shawn Mendes
0,help
1,like
2,walls
3,caving
4,sometimes
5,feel
6,like
7,giving
8,can't
9,blood
10,laying
11,bathroom
12,floor
13,feeling
14,nothing
15,i'm
16,overwhelmed
17,insecure
18,give
19,something
20,could
21,take
22,ease
23,mind
24,slowly
25,drink
26,feel
27,better
28,take
29,home
30,feel
31,better
32,keep
33,telling
34,gets
35,better
36,ever
37,prechorus
38,help
39,like
40,walls
41,caving
42,sometimes
43,feel
44,like
45,giving
46,medicine
47,strong
48,enough
49,someone
50,help
51,i'm
52,crawling
53,skin
54,sometimes
55,feel
56,like
57,giving
58,can't
59,blood
60,blood
61,i'm
62,looking
63,phone
64,feeling
65,anxious
66,afraid
67,alone
68,hate
69,i'm
70,trying
71,find
72,way
73,chill
74,can't
75,breathe
76,oh
77,somebody
78,could
79,prechorus
80,help
81,like
82,walls
83,caving
84,sometimes
85,feel
86,like
87,giving
88,medicine
89,strong
90,enough
91,someone
92,help
93,i'm
94,crawling
95,skin
96,sometimes
97,feel
98,like
99,giving
100,can't
101,blood
102,blood
103,need
104,somebody
105,need
106,somebody
107,someone
108,help
109,need
110,somebody
111,prechorus
112,help
113,like
114,walls
115,caving
116,sometimes
117,feel
118,like
119,giving
120,can't
121,blood
122,blood
123,oh
124,blood
125,need
126,somebody
127,blood
128,need
129,somebody
130,blood
