,One_Ed Sheeran
0,tell
1,turn
2,man
3,asks
4,hand
5,cause
6,waiting
7,know
8,gonna
9,away
10,i've
11,got
12,plans
13,leave
14,would
15,take
16,away
17,hopes
18,dreams
19,stay
20,senses
21,come
22,life
23,i'm
24,stumbling
25,home
26,drunk
27,ever
28,i'll
29,never
30,leave
31,cause
32,one
33,friends
34,gone
35,find
36,another
37,place
38,let
39,hearts
40,collide
41,promise
42,always
43,friend
44,cause
45,one
46,take
47,hand
48,heart
49,soul
50,eyes
51,know
52,everything
53,changes
54,we'll
55,strangers
56,see
57,could
58,stay
59,within
60,walls
61,bleed
62,stay
63,oh
64,lord
65,senses
66,come
67,life
68,i'm
69,stumbling
70,home
71,drunk
72,ever
73,i'll
74,never
75,leave
76,cause
77,one
78,friends
79,gone
80,find
81,another
82,place
83,let
84,hearts
85,collide
86,promise
87,always
88,friend
89,cause
90,one
91,stumbling
92,half
93,drunk
94,getting
95,lost
96,gone
97,tell
98,way
99,home
100,listen
101,sad
102,songs
103,singing
104,love
105,goes
106,wrong
107,senses
108,come
109,life
110,i'm
111,stumbling
112,home
113,drunk
114,ever
115,i'll
116,never
117,leave
118,cause
119,one
120,friends
121,gone
122,find
123,another
124,place
125,let
126,hearts
127,collide
128,promise
129,always
130,friend
131,cause
132,one
