,Love The Way You Lie_Eminem
0,rihanna
1,gonna
2,stand
3,watch
4,burn
5,well
6,that's
7,right
8,like
9,way
10,hurts
11,gonna
12,stand
13,hear
14,cry
15,well
16,that's
17,right
18,love
19,way
20,lie
21,love
22,way
23,lie
24,eminem
25,can't
26,tell
27,really
28,tell
29,feels
30,like
31,right
32,there's
33,steel
34,knife
35,windpipe
36,can't
37,breathe
38,still
39,fight
40,fight
41,long
42,wrong
43,feels
44,right
45,like
46,i'm
47,flight
48,high
49,love
50,drunk
51,hate
52,like
53,i'm
54,huffin'
55,paint
56,love
57,suffer
58,suffocate
59,right
60,i'm
61,drown
62,resuscitates
63,fuckin'
64,hates
65,love
66,—
67,wait
68,going
69,—
70,i'm
71,leaving
72,—
73,ain't
74,come
75,back
76,—
77,we're
78,runnin'
79,right
80,back
81,go
82,insane
83,'cause
84,goin'
85,good
86,goin'
87,great
88,i'm
89,superman
90,wind
91,back
92,lois
93,lane
94,bad
95,awful
96,feel
97,ashamed
98,snapped
99,who's
100,dude
101,even
102,know
103,name
104,laid
105,hands
106,i'll
107,never
108,stoop
109,low
110,guess
111,know
112,strength
113,rihanna
114,gonna
115,stand
116,watch
117,burn
118,well
119,that's
120,right
121,like
122,way
123,hurts
124,gonna
125,stand
126,hear
127,cry
128,well
129,that's
130,right
131,love
132,way
133,lie
134,love
135,way
136,lie
137,love
138,way
139,lie
140,eminem
141,ever
142,love
143,somebody
144,much
145,barely
146,breathe
147,'em
148,meet
149,neither
150,one
151,even
152,know
153,hit
154,'em
155,got
156,warm
157,fuzzy
158,feelin'
159,yeah
160,chills
161,used
162,get
163,'em
164,gettin'
165,fuckin'
166,sick
167,lookin'
168,'em
169,swore
170,never
171,hit
172,'em
173,never
174,nothin'
175,hurt
176,'em
177,other's
178,face
179,spewin'
180,venom
181,words
182,spit
183,'em
184,push
185,pull
186,other's
187,hair
188,scratch
189,claw
190,bit
191,'em
192,throw
193,'em
194,pin
195,'em
196,lost
197,moments
198,'em
199,rage
200,took
201,controls
202,say
203,best
204,go
205,separate
206,ways
207,guess
208,know
209,ya
210,'cause
211,today
212,yesterday
213,yesterday
214,different
215,day
216,sound
217,like
218,broken
219,records
220,playin'
221,promised
222,next
223,time
224,show
225,restraint
226,get
227,another
228,chance
229,life
230,nintendo
231,game
232,lied
233,get
234,watch
235,leave
236,window
237,guess
238,that's
239,call
240,window
241,pane
242,rihanna
243,gonna
244,stand
245,watch
246,burn
247,well
248,that's
249,right
250,like
251,way
252,hurts
253,gonna
254,stand
255,hear
256,cry
257,well
258,that's
259,right
260,love
261,way
262,lie
263,love
264,way
265,lie
266,love
267,way
268,lie
269,eminem
270,know
271,said
272,things
273,things
274,mean
275,fall
276,back
277,patterns
278,routine
279,temper's
280,bad
281,mine
282,comes
283,love
284,blinded
285,baby
286,please
287,come
288,back
289,baby
290,maybe
291,relationship
292,crazy
293,seems
294,maybe
295,that's
296,happens
297,tornado
298,meets
299,volcano
300,know
301,love
302,much
303,walk
304,away
305,though
306,come
307,inside
308,pick
309,bags
310,sidewalk
311,hear
312,sincerity
313,voice
314,talk
315,told
316,fault
317,look
318,eyeball
319,next
320,time
321,i'm
322,pissed
323,i'll
324,aim
325,fist
326,drywall
327,next
328,time
329,next
330,time
331,apologize
332,even
333,though
334,know
335,lies
336,i'm
337,tired
338,games
339,want
340,back
341,know
342,i'm
343,liar
344,ever
345,tries
346,fuckin'
347,leave
348,i'ma
349,tie
350,bed
351,set
352,house
353,fire
354,gonna
355,rihanna
356,gonna
357,stand
358,watch
359,burn
360,well
361,that's
362,right
363,like
364,way
365,hurts
366,gonna
367,stand
368,hear
369,cry
370,well
371,that's
372,right
373,love
374,way
375,lie
376,love
377,way
378,lie
379,love
380,way
381,lie
