,Night Terror_Laura Marling
0,woke
1,screaming
2,i'd
3,left
4,dreaming
5,i'll
6,roll
7,shake
8,tightly
9,whisper
10,want
11,oh
12,they're
13,gonna
14,fight
15,oh
16,fight
17,woke
18,bench
19,shepherd's
20,bush
21,green
22,oh
23,candle
24,chest
25,head
26,knee
27,got
28,dark
29,there's
30,one
31,park
32,hour
33,keep
34,finding
35,oh
36,fight
37,look
38,back
39,screaming
40,i'd
41,left
42,dreaming
43,dangerous
44,feat
45,i'll
46,run
47,back
48,shake
49,tightly
50,scream
51,want
52,oh
53,they're
54,gonna
55,fight
56,oh
57,fight
58,wake
59,bench
60,shepherd's
61,bush
62,green
63,oh
64,candle
65,chest
66,head
67,knee
68,i'll
69,roll
70,hold
71,tightly
72,scream
73,want
74,oh
75,gonna
76,fight
77,oh
78,fight
79,oh
80,fight
