,Nothing Better_The Postal Service
0,ben
1,gibbard
2,someone
3,please
4,call
5,surgeon
6,crack
7,ribs
8,repair
9,broken
10,heart
11,deserting
12,better
13,company
14,can't
15,accept
16,block
17,door
18,like
19,goalie
20,tending
21,net
22,third
23,quarter
24,tiedgame
25,rivalry
26,prechorus
27,ben
28,gibbard
29,say
30,make
31,right
32,swear
33,i'll
34,best
35,comply
36,ben
37,gibbard
38,tell
39,right
40,think
41,could
42,nothing
43,better
44,making
45,bride
46,slowly
47,growing
48,old
49,together
50,jen
51,wood
52,feel
53,must
54,interject
55,getting
56,carried
57,away
58,feeling
59,sorry
60,revisions
61,gaps
62,history
63,let
64,help
65,remember
66,i've
67,made
68,charts
69,graphs
70,finally
71,make
72,clear
73,i've
74,prepared
75,lecture
76,leave
77,prechorus
78,jen
79,wood
80,ben
81,gibbard
82,please
83,back
84,away
85,let
86,go
87,can't
88,darling
89,love
90,oh
91,oh
92,ben
93,gibbard
94,jen
95,wood
96,tell
97,right
98,think
99,could
100,nothing
101,better
102,making
103,bride
104,slowly
105,growing
106,old
107,together
108,tell
109,right
110,feed
111,lines
112,idealistic
113,future
114,tell
115,right
116,heart
117,heal
118,right
119,keep
120,tearing
121,sutures
122,ben
123,gibbard
124,jen
125,wood
126,admit
127,made
128,mistakes
129,swear
130,i'll
131,never
132,wrong
133,got
134,lure
135,can't
136,deny
137,chance
138,say
139,goodbye
140,say
141,goodbye
