,At Last_Etta James
0,never
1,spellbound
2,starry
3,sky
4,moon
5,glow
6,love
7,passed
8,came
9,midnight
10,world
11,new
12,spellbound
13,darling
14,stars
15,last
16,love
17,come
18,along
19,lonely
20,days
21,life
22,like
23,song
24,last
25,skies
26,blue
27,heart
28,wrapped
29,clover
30,night
31,looked
32,found
33,dream
34,speak
35,dream
36,call
37,found
38,thrill
39,press
40,cheek
41,thrill
42,i've
43,never
44,known
45,smiled
46,spell
47,cast
48,heaven
49,mine
50,last
51,last
52,love
53,come
54,along
55,lonely
56,days
57,life
58,like
59,song
60,last
61,skies
62,blue
63,heart
64,wrapped
65,clover
66,night
67,looked
68,found
69,dream
70,speak
71,dream
72,call
73,found
74,thrill
75,press
76,cheek
77,thrill
78,i've
79,never
80,known
81,smiled
82,spell
83,cast
84,heaven
