,Sweet Surrender_Sarah McLachlan
0,mean
1,much
2,mean
3,anything
4,life
5,i've
6,left
7,behind
8,cold
9,room
10,i've
11,crossed
12,last
13,line
14,can't
15,return
16,every
17,step
18,took
19,faith
20,betrayed
21,led
22,home
23,sweet
24,surrender
25,give
26,take
27,questions
28,asked
29,strip
30,away
31,ugliness
32,surrounds
33,angel
34,already
35,gone
36,hope
37,disappoint
38,i'm
39,knees
40,sweet
41,surrender
42,give
43,sweet
44,surrender
45,surrender
46,give
47,understand
48,touch
49,hand
50,would
51,one
52,fall
53,miss
54,little
55,things
56,miss
57,everything
58,mean
59,much
60,mean
61,anything
62,life
63,left
64,behind
65,cold
66,room
67,sweet
68,surrender
69,surrender
70,give
71,sweet
72,surrender
73,surrender
74,give
