,Again I Go Unnoticed_Dashboard Confessional
0,quite
1,another
2,wasted
3,night
4,television
5,steals
6,conversation
7,exhale
8,another
9,wasted
10,breath
11,goes
12,unnoticed
13,please
14,tell
15,feeling
16,tired
17,‘cause
18,feel
19,might
20,break
21,touch
22,time
23,please
24,send
25,anything
26,signals
27,mixed
28,‘cause
29,can't
30,read
31,rolling
32,eyes
33,touch
34,time
35,close
36,lipped
37,another
38,good
39,night
40,kiss
41,robbed
42,passion
43,grip
44,another
45,time
46,slack
47,leaves
48,feeling
49,empty
50,please
51,tell
52,feeling
53,tired
54,‘cause
55,feel
56,might
57,break
58,touch
59,time
60,please
61,send
62,anything
63,signals
64,mixed
65,‘cause
66,can't
67,read
68,rolling
69,eyes
70,touch
71,time
72,i’ll
73,wait
74,tomorrow
75,maybe
76,feel
77,better
78,maybe
79,we'll
80,better
81,what's
82,another
83,day
84,can't
85,bear
86,nights
87,thoughts
88,going
89,without
90,mood
91,temporary
92,seems
93,worth
94,wait
95,see
96,smile
97,corner
98,eye
99,way
100,look
101,quite
102,another
103,wasted
104,night
105,television
106,steals
107,conversation
108,exhale
109,another
110,wasted
111,breath
112,goes
113,unnoticed
