,I'll Be There_The Jackson 5
0,must
1,make
2,pact
3,must
4,bring
5,salvation
6,back
7,love
8,i'll
9,i'll
10,reach
11,hand
12,i'll
13,faith
14,call
15,name
16,i'll
17,oh
18,i'll
19,comfort
20,build
21,world
22,dreams
23,around
24,i'm
25,glad
26,found
27,i'll
28,love
29,that's
30,strong
31,i'll
32,strength
33,i'll
34,keep
35,holding
36,yes
37,yes
38,let
39,fill
40,heart
41,joy
42,laughter
43,togetherness
44,well
45,that's
46,i'm
47,whenever
48,need
49,i'll
50,i'll
51,protect
52,unselfish
53,love
54,respect
55,call
56,name
57,i'll
58,oh
59,i'll
60,comfort
61,build
62,world
63,dreams
64,around
65,i'm
66,glad
67,found
68,i'll
69,love
70,that's
71,strong
72,i'll
73,strength
74,i'll
75,keep
76,holding
77,yes
78,yes
79,ever
80,find
81,someone
82,new
83,know
84,he'd
85,better
86,good
87,'cos
88,i'll
89,know
90,baby
91,yeah
92,yeah
93,i'll
94,i'll
95,call
96,name
97,i'll
98,look
99,shoulders
100,honey
101,ooh
102,i'll
103,i'll
104,whenever
105,need
106,i'll
107,know
108,baby
109,yeah
110,yeah
