,Drawn to the Blood_Sufjan Stevens
0,i’m
1,drawn
2,blood
3,flight
4,onewinged
5,dove
6,happen
7,happen
8,strength
9,arm
10,lover
11,caught
12,guard
13,head
14,rabbit
15,head
16,rabbit
17,prayer
18,always
19,love
20,deserve
21,blood
22,sleeve
23,delilah
24,avenge
25,grief
26,god
27,elijah
28,god
29,elijah
30,fire
31,sun
32,tell
33,done
34,heart
35,dragon
36,heart
37,dragon
38,prayer
39,always
40,love
41,deserve
42,happen
