,Radio_Lana Del Rey
0,even
1,stop
2,boy
3,flying
4,overhead
5,heavy
6,words
7,can't
8,bring
9,boy
10,i've
11,raised
12,dead
13,prechorus
14,one
15,even
16,knows
17,hard
18,life
19,even
20,think
21,i've
22,finally
23,found
24,oh
25,sing
26,life
27,sweet
28,like
29,cinnamon
30,like
31,fucking
32,dream
33,i'm
34,living
35,baby
36,love
37,'cause
38,i'm
39,playing
40,radio
41,like
42,lick
43,take
44,like
45,vitamin
46,'cause
47,body's
48,sweet
49,like
50,sugar
51,venom
52,oh
53,yeah
54,baby
55,love
56,'cause
57,i'm
58,playing
59,radio
60,like
61,american
62,dreams
63,came
64,true
65,somehow
66,swore
67,i'd
68,chase
69,'em
70,'til
71,dead
72,heard
73,streets
74,paved
75,gold
76,that's
77,father
78,said
79,prechorus
80,one
81,even
82,knows
83,life
84,like
85,i'm
86,la
87,paradise
88,i've
89,finally
90,found
91,oh
92,sing
93,life
94,sweet
95,like
96,cinnamon
97,like
98,fucking
99,dream
100,i'm
101,living
102,baby
103,love
104,'cause
105,i'm
106,playing
107,radio
108,like
109,lick
110,take
111,like
112,vitamin
113,'cause
114,body's
115,sweet
116,like
117,sugar
118,venom
119,oh
120,yeah
121,baby
122,love
123,'cause
124,i'm
125,playing
126,radio
127,like
128,radio
129,radio
130,sweet
131,like
132,cinnamon
133,like
134,fucking
135,dream
136,i'm
137,living
138,baby
139,love
140,'cause
141,i'm
142,playing
143,radio
144,like
145,radio
146,radio
147,sweet
148,like
149,cinnamon
150,like
151,fucking
152,dream
153,i'm
154,living
155,i've
156,finally
157,found
158,oh
159,sing
160,life
161,sweet
162,like
163,cinnamon
164,like
165,fucking
166,dream
167,i'm
168,living
169,baby
170,love
171,'cause
172,i'm
173,playing
174,radio
175,like
176,lick
177,take
178,like
179,vitamin
180,'cause
181,body's
182,sweet
183,like
184,sugar
185,venom
186,oh
187,yeah
188,baby
189,love
190,'cause
191,i'm
192,playing
193,radio
194,like
195,oh
196,sing
197,life
198,sweet
199,like
200,cinnamon
201,like
202,fucking
203,dream
204,i'm
205,living
206,baby
207,love
208,'cause
209,i'm
210,playing
211,radio
212,like
213,lick
214,take
215,like
216,vitamin
217,'cause
218,body's
219,sweet
220,like
221,sugar
222,venom
223,oh
224,yeah
225,baby
226,love
227,'cause
228,i'm
229,playing
230,radio
231,like
