,Mess Is Mine_Vance Joy
0,verse1
1,talking
2,like
3,used
4,always
5,shaping
6,shipping
7,check
8,check
9,like
10,walking
11,rain
12,think
13,love
14,think
15,pain
16,tell
17,see
18,choose
19,believe
20,well
21,hold
22,darling
23,body
24,body
25,mine
26,well
27,hold
28,darling
29,mess
30,mess
31,mine
32,ahoooh
33,mess
34,mine
35,see
36,marketplace
37,walkin
38,'round
39,got
40,two
41,hours
42,flight
43,luck
44,side
45,tonight
46,reason
47,feel
48,strong
49,reason
50,i'm
51,hanging
52,know
53,gave
54,time
55,give
56,enough
57,mine
58,well
59,hold
60,darling
61,body
62,body
63,mine
64,well
65,hold
66,darling
67,mess
68,mess
69,mine
70,ahoooh
71,mess
72,mine
73,mess
74,mine
75,bring
76,house
77,tell
78,sorry
79,mess
80,hey
81,mind
82,talking
83,sleep
84,time
85,well
86,still
87,make
88,sense
89,mess
90,mine
91,ahoooh
92,mess
93,mine
94,body
95,body
96,mine
97,oooh
98,mess
99,mine
100,mess
101,mine
