,Without You I'm Nothing_Placebo
0,strange
1,infatuation
2,seems
3,grace
4,evening
5,tide
6,i'll
7,take
8,side
9,imagination
10,seems
11,help
12,feeling
13,slide
14,i'll
15,take
16,side
17,instant
18,correlation
19,sucks
20,breeds
21,pack
22,lies
23,i'll
24,take
25,side
26,oversaturation
27,curls
28,skin
29,tans
30,hide
31,i'll
32,take
33,side
34,tick
35,tock
36,tick
37,tock
38,tick
39,tock
40,tick
41,tick
42,tick
43,tick
44,tick
45,tock
46,i'm
47,unclean
48,libertine
49,every
50,time
51,vent
52,spleen
53,seem
54,lose
55,power
56,speech
57,slipping
58,slowly
59,reach
60,grow
61,like
62,evergreen
63,never
64,seen
65,lonely
66,prechorus
67,take
68,plan
69,spin
70,sideways
71,fall
72,without
73,i'm
74,nothing
75,without
76,i'm
77,nothing
78,without
79,i'm
80,nothing
81,take
82,plan
83,spin
84,sideways
85,without
86,i'm
87,nothing
