,10 Bands_Drake
0,bands
1,bands
2,100
3,bands
4,fuck
5,man
6,let's
7,even
8,discuss
9,man
10,omg
11,niggas
12,sleep
13,ain't
14,trippin'
15,i'ma
16,let
17,'em
18,sleep
19,ain't
20,trippin'
21,let
22,'em
23,rest
24,peace
25,tell
26,ya
27,happened
28,tell
29,ya
30,'bout
31,safe
32,house
33,nights
34,calabasas
35,tell
36,rapper
37,tryna
38,sell
39,story
40,even
41,open
42,package
43,claim
44,payin'
45,mama's
46,rent
47,turning
48,soda
49,dirty
50,like
51,diana
52,never
53,clean
54,ex
55,asked
56,movin'
57,said
58,better
59,things
60,bands
61,bands
62,100
63,bands
64,fuck
65,man
66,let's
67,even
68,discuss
69,man
70,omg
71,niggas
72,sleep
73,ain't
74,trippin'
75,i'ma
76,let
77,'em
78,sleep
79,ain't
80,trippin'
81,let
82,'em
83,rest
84,peace
85,crib
86,phones
87,house
88,taking
89,calls
90,done
91,hit
92,stride
93,got
94,shit
95,goin'
96,six
97,cooking
98,wrist
99,motion
100,drapes
101,closed
102,know
103,time
104,i'm
105,still
106,awake
107,gotta
108,shine
109,year
110,could
111,never
112,ever
113,let
114,streets
115,left
116,condo
117,week
118,bands
119,bands
120,100
121,bands
122,fuck
123,man
124,let's
125,even
126,discuss
127,man
128,omg
129,niggas
130,sleep
131,ain't
132,trippin'
133,i'ma
134,let
135,'em
136,sleep
137,ain't
138,trippin'
139,let
140,'em
141,rest
142,peace
143,i've
144,mission
145,left
146,condo
147,ovo
148,szn
149,new
150,toronto
151,get
152,boxes
153,free
154,jordan
155,like
156,play
157,north
158,carolina
159,much
160,make
161,deal
162,fuck
163,know
164,watches
165,always
166,timeless
167,keep
168,diamonds
169,treatin'
170,diamonds
171,atlanta
172,like
173,king
174,diamonds
175,take
176,flick
177,look
178,like
179,meechy
180,look
181,like
182,bleu
183,davinci
184,treat
185,v
186,live
187,like
188,07
189,magic
190,city
191,man
192,told
193,city
194,i'd
195,gone
196,'til
197,november
198,november
199,came
200,came
201,right
202,back
203,worst
204,behav'
205,god
206,put
207,hands
208,together
209,that's
210,amazin'
211,grace
212,god
213,selfish
214,love
215,need
216,praise
217,woo
218,got
219,feelin'
220,like
221,one
222,woo
223,got
224,feelin'
225,like
226,one
227,yeah
228,shout
229,goes
230,nike
231,checks
232,need
233,fuelband
234,see
235,long
236,run
237,bands
238,bands
239,100
240,bands
241,fuck
242,man
243,let's
244,even
245,discuss
246,man
247,omg
248,niggas
249,sleep
250,ain't
251,trippin'
252,i'ma
253,let
254,'em
255,sleep
256,ain't
257,trippin'
258,let
259,'em
260,rest
261,peace
262,crib
263,phones
264,house
265,takin'
266,calls
267,done
268,hit
269,stride
270,got
271,shit
272,going
273,cookin'
274,wriwriwriwri
