,Michelle_The Beatles
0,paul
1,mccartney
2,michelle
3,belle
4,words
5,go
6,together
7,well
8,michelle
9,paul
10,mccartney
11,michelle
12,belle
13,sont
14,des
15,mots
16,qui
17,vont
18,très
19,bien
20,ensemble
21,très
22,bien
23,ensemble
24,paul
25,mccartney
26,love
27,love
28,love
29,that's
30,want
31,say
32,find
33,way
34,say
35,words
36,know
37,understand
38,paul
39,mccartney
40,michelle
41,belle
42,sont
43,des
44,mots
45,qui
46,vont
47,très
48,bien
49,ensemble
50,très
51,bien
52,ensemble
53,paul
54,mccartney
55,need
56,need
57,need
58,need
59,make
60,see
61,oh
62,mean
63,i'm
64,hoping
65,know
66,mean
67,love
68,want
69,want
70,want
71,think
72,know
73,i'll
74,get
75,somehow
76,i'm
77,telling
78,understand
79,paul
80,mccartney
81,michelle
82,belle
83,sont
84,des
85,mots
86,qui
87,vont
88,très
89,bien
90,ensemble
91,très
92,bien
93,ensemble
94,say
95,words
96,know
97,understand
98,michelle
