,Candy_Robbie Williams
0,witness
1,candice's
2,inner
3,business
4,wants
5,boys
6,notice
7,rainbows
8,ponies
9,educated
10,could
11,count
12,ten
13,got
14,lots
15,different
16,horses
17,lots
18,different
19,men
20,prechorus
21,say
22,liberate
23,sons
24,daughters
25,bush
26,high
27,hole
28,there's
29,water
30,get
31,give
32,nothing
33,sacred
34,living
35,hey
36,ho
37,goes
38,either
39,little
40,high
41,little
42,low
43,got
44,selfesteem
45,vertigo
46,cause
47,thinks
48,made
49,candy
50,hey
51,ho
52,goes
53,either
54,little
55,loud
56,little
57,close
58,got
59,hurricane
60,back
61,throat
62,thinks
63,made
64,candy
65,ring
66,ring
67,roses
68,whoever
69,gets
70,closest
71,comes
72,goes
73,war
74,roses
75,mother
76,victim
77,father
78,beat
79,system
80,moving
81,bricks
82,brixton
83,learning
84,fix
85,prechorus
86,liberate
87,sons
88,daughters
89,bush
90,high
91,hole
92,there's
93,water
94,she'll
95,whole
96,law
97,feel
98,good
99,tell
100,hey
101,ho
102,goes
103,either
104,little
105,high
106,little
107,low
108,got
109,selfesteem
110,vertigo
111,cause
112,thinks
113,made
114,candy
115,hey
116,ho
117,goes
118,either
119,little
120,loud
121,little
122,close
123,there's
124,hurricane
125,back
126,throat
127,thinks
128,made
129,candy
130,prechorus
131,liberate
132,sons
133,daughters
134,bush
135,high
136,hole
137,there's
138,water
139,she'll
140,whole
141,law
142,feel
143,good
144,hey
145,ho
146,goes
147,either
148,little
149,high
150,little
151,low
152,got
153,selfesteem
154,vertigo
155,cause
156,thinks
157,made
158,candy
159,hey
160,ho
161,goes
162,either
163,little
164,loud
165,little
166,close
167,got
168,hurricane
169,back
170,throat
171,thinks
172,made
173,candy
174,hey
175,ho
176,goes
177,either
178,little
179,high
180,little
181,low
182,got
183,selfesteem
184,vertigo
185,cause
186,thinks
187,made
188,candy
189,hey
190,ho
191,goes
192,either
193,little
194,loud
195,little
196,close
197,got
198,hurricane
199,back
200,throat
201,thinks
202,made
203,candy
