,Jealous_Labrinth
0,i'm
1,jealous
2,rain
3,falls
4,upon
5,skin
6,closer
7,hands
8,i'm
9,jealous
10,rain
11,i'm
12,jealous
13,wind
14,ripples
15,clothes
16,closer
17,shadow
18,oh
19,i'm
20,jealous
21,wind
22,wished
23,best
24,world
25,could
26,give
27,told
28,left
29,there's
30,nothing
31,forgive
32,always
33,thought
34,come
35,back
36,tell
37,found
38,heartbreak
39,misery
40,hard
41,say
42,i'm
43,jealous
44,way
45,happy
46,without
47,i'm
48,jealous
49,nights
50,spend
51,i'm
52,wondering
53,lay
54,next
55,oh
56,i'm
57,jealous
58,nights
59,i'm
60,jealous
61,love
62,love
63,gone
64,someone
65,else
66,share
67,oh
68,i'm
69,jealous
70,love
71,cause
72,wished
73,best
74,world
75,could
76,give
77,told
78,left
79,there's
80,nothing
81,forgive
82,always
83,thought
84,come
85,back
86,tell
87,found
88,heartbreak
89,misery
90,hard
91,say
92,i'm
93,jealous
94,way
95,happy
96,without
97,sink
98,sand
99,watch
100,slip
101,hands
102,oh
103,die
104,another
105,day
106,cause
107,cry
108,behind
109,smile
110,wished
111,best
112,world
113,could
114,give
115,told
116,left
117,there's
118,nothing
119,forgive
120,always
121,thought
122,come
123,back
124,tell
125,found
126,heartbreak
127,misery
128,hard
129,say
130,i'm
131,jealous
132,way
133,happy
134,without
135,meeeeee
136,hard
137,say
138,i'm
139,jealous
140,way
141,happy
142,without
