,I Just Called to Say I Love You_Stevie Wonder
0,new
1,year's
2,day
3,celebrate
4,chocolate
5,covered
6,candy
7,hearts
8,give
9,away
10,first
11,spring
12,song
13,sing
14,fact
15,here's
16,another
17,ordinary
18,day
19,april
20,rain
21,flowers
22,bloom
23,wedding
24,saturday
25,within
26,month
27,june
28,something
29,true
30,made
31,three
32,words
33,must
34,say
35,called
36,say
37,love
38,called
39,say
40,much
41,care
42,called
43,say
44,love
45,mean
46,bottom
47,heart
48,summer's
49,high
50,warm
51,july
52,harvest
53,moon
54,light
55,one
56,tender
57,august
58,night
59,autumn
60,breeze
61,falling
62,leaves
63,even
64,time
65,birds
66,fly
67,southern
68,skies
69,libra
70,sun
71,halloween
72,giving
73,thanks
74,christmas
75,joy
76,bring
77,though
78,old
79,new
80,fill
81,heart
82,like
83,three
84,words
85,could
86,ever
87,called
88,say
89,love
90,called
91,say
92,much
93,care
94,called
95,say
96,love
97,mean
98,bottom
99,heart
100,called
101,say
102,love
103,called
104,say
105,much
106,care
107,called
108,say
109,love
110,mean
111,bottom
112,heart
113,called
114,say
115,love
116,called
117,say
118,much
119,care
120,called
121,say
122,love
123,mean
124,bottom
125,heart
126,heart
127,heart
