,She_Elvis Costello
0,may
1,face
2,can't
3,forget
4,trace
5,pleasure
6,regret
7,may
8,treasure
9,price
10,pay
11,may
12,song
13,summer
14,sings
15,may
16,chill
17,autumn
18,brings
19,may
20,hundred
21,different
22,things
23,within
24,measure
25,day
26,may
27,beauty
28,beast
29,may
30,famine
31,feast
32,may
33,turn
34,day
35,heaven
36,hell
37,may
38,mirror
39,dreams
40,smile
41,reflected
42,stream
43,may
44,may
45,seem
46,inside
47,shell
48,instrumental
49,always
50,seems
51,happy
52,crowd
53,whose
54,eyes
55,private
56,proud
57,one's
58,allowed
59,see
60,cry
61,may
62,love
63,cannot
64,hope
65,last
66,may
67,come
68,shadows
69,past
70,i'll
71,remember
72,till
73,day
74,die
75,may
76,reason
77,survive
78,wherefore
79,i'm
80,alive
81,one
82,i'll
83,care
84,rough
85,ready
86,years
87,i'll
88,take
89,laughter
90,tears
91,make
92,souvenirs
93,goes
94,i've
95,got
96,meaning
97,life
98,oh
