,bird stealing bread_Iron & Wine
0,tell
1,baby
2,tell
3,still
4,stoop
5,watching
6,windows
7,close
8,i've
9,seen
10,lately
11,street
12,beach
13,places
14,used
15,go
16,i've
17,picture
18,favorite
19,day
20,seaside
21,there's
22,bird
23,stealing
24,bread
25,brought
26,nose
27,tell
28,baby
29,tell
30,company
31,make
32,light
33,rainy
34,day
35,i've
36,missed
37,lately
38,way
39,would
40,speak
41,say
42,hands
43,hair
44,feel
45,lot
46,like
47,thing
48,believe
49,bit
50,like
51,bird
52,stealing
53,bread
54,nose
55,tell
56,baby
57,tell
58,carry
59,words
60,around
61,like
62,key
63,change
64,i've
65,thinking
66,lately
67,night
68,stoop
69,say
70,see
71,street
72,beach
73,evening
74,fly
75,like
76,bird
77,stealing
78,bread
79,nose
