,Bel Air_Lana Del Rey
0,gargoyles
1,standing
2,front
3,gate
4,trying
5,tell
6,wait
7,can't
8,wait
9,see
10,run
11,like
12,i'm
13,mad
14,heaven's
15,door
16,wanna
17,bad
18,cheat
19,roses
20,bel
21,air
22,take
23,i've
24,waiting
25,meet
26,palm
27,trees
28,light
29,see
30,late
31,night
32,darling
33,i'm
34,waiting
35,greet
36,come
37,baby
38,spotlight
39,bad
40,baby
41,got
42,flair
43,violentest
44,kind
45,love
46,anywhere
47,mon
48,amour
49,sweet
50,child
51,mine
52,divine
53,anyone
54,ever
55,tell
56,okay
57,shine
58,roses
59,bel
60,air
61,take
62,i've
63,waiting
64,meet
65,palm
66,trees
67,light
68,see
69,late
70,night
71,darling
72,i'm
73,waiting
74,greet
75,come
76,baby
77,afraid
78,ashamed
79,walk
80,way
81,soft
82,resurrection
83,idol
84,roses
85,iconic
86,soul
87,know
88,name
89,lead
90,war
91,brilliant
92,direction
93,roses
94,bel
95,air
96,take
97,i've
98,waiting
99,meet
100,palm
101,trees
102,light
103,see
104,late
105,night
106,darling
107,i'm
108,waiting
109,greet
110,come
111,baby
112,roses
113,bel
114,air
115,take
116,i've
117,waiting
118,meet
119,grenadine
120,sunshine
121,fade
122,inside
123,mine
124,darling
125,i'm
126,waiting
127,greet
128,come
129,baby
