,The Engine Driver_The Decemberists
0,i'm
1,engine
2,driver
3,long
4,run
5,long
6,run
7,would
8,beside
9,long
10,one
11,long
12,one
13,love
14,let
15,go
16,love
17,let
18,go
19,i'm
20,county
21,lineman
22,high
23,line
24,high
25,line
26,grandson
27,powerlines
28,bloodlines
29,love
30,let
31,go
32,love
33,let
34,go
35,writer
36,writer
37,fictions
38,heart
39,call
40,home
41,i've
42,written
43,pages
44,upon
45,pages
46,trying
47,rid
48,bones
49,bones
50,bones
51,i'm
52,money
53,lender
54,fortunes
55,upon
56,fortunes
57,take
58,hand
59,tender
60,tortured
61,ever
62,tortured
63,love
64,let
65,go
66,love
67,let
68,go
69,writer
70,writer
71,fictions
72,heart
73,call
74,home
75,i've
76,written
77,pages
78,upon
79,pages
80,trying
81,rid
82,bones
83,writer
84,home
85,home
86,i've
87,written
88,pages
89,upon
90,pages
91,trying
92,rid
93,bones
94,bones
95,bones
96,love
97,let
98,go
99,love
100,let
101,go
102,love
103,let
104,go
105,love
106,let
107,go
