,I'll Make Love to You_Boyz II Men
0,nathan
1,close
2,eyes
3,make
4,wish
5,blow
6,candlelight
7,tonight
8,night
9,we're
10,gonna
11,celebrate
12,night
13,shawn
14,pour
15,wine
16,light
17,fire
18,girl
19,wish
20,command
21,submit
22,demands
23,anything
24,girl
25,need
26,ask
27,i'll
28,make
29,love
30,like
31,want
32,i'll
33,hold
34,tight
35,baby
36,night
37,i'll
38,make
39,love
40,want
41,let
42,go
43,'til
44,tell
45,wanya
46,girl
47,relax
48,let's
49,go
50,slow
51,ain't
52,got
53,nowhere
54,go
55,i'm
56,gonna
57,concentrate
58,girl
59,ready
60,gonna
61,long
62,night
63,throw
64,clothes
65,throw
66,clothes
67,floor
68,floor
69,shawn
70,wanya
71,i'm
72,gonna
73,take
74,clothes
75,i've
76,made
77,plans
78,within
79,girl
80,whatever
81,ask
82,know
83,could
84,i'll
85,make
86,love
87,like
88,want
89,i'll
90,hold
91,tight
92,baby
93,night
94,i'll
95,make
96,love
97,want
98,let
99,go
100,'til
101,tell
102,wanya
103,baby
104,tonight
105,night
106,right
107,make
108,wish
109,night
110,anything
111,ask
112,give
113,love
114,life
115,life
116,life
117,i'll
118,make
119,love
120,i'll
121,make
122,love
123,like
124,want
125,i'll
126,hold
127,tight
128,hold
129,tight
130,baby
131,night
132,i'll
133,make
134,love
135,i'll
136,make
137,love
138,want
139,let
140,go
141,let
142,go
143,til
144,'til
145,tell
146,tell
147,i'll
148,make
149,love
150,i'll
151,make
152,love
153,like
154,want
155,i'll
156,hold
157,tight
158,hold
159,tight
160,baby
161,night
162,i'll
163,make
164,love
165,i'll
166,make
167,love
168,want
169,let
170,go
171,let
172,go
173,til
174,'til
175,tell
176,tell
177,tell
178,baby
