,The Writer_Ellie Goulding
0,1ellie
1,goulding
2,wait
3,silence
4,wait
5,word
6,lie
7,next
8,frame
9,girl
10,unobserved
11,change
12,position
13,changing
14,casting
15,shadows
16,prechorusellie
17,goulding
18,we're
19,interrupted
20,heat
21,sun
22,trying
23,prevent
24,what's
25,already
26,begun
27,body
28,smell
29,skin
30,feel
31,wearing
32,thin
33,chorusellie
34,goulding
35,i've
36,got
37,plan
38,artist
39,make
40,clay
41,writer
42,decide
43,words
44,say
45,i'd
46,rather
47,pretend
48,i'll
49,still
50,end
51,hard
52,ask
53,try
54,help
55,2ellie
56,goulding
57,sat
58,sofa
59,broken
60,springs
61,place
62,violin
63,strings
64,try
65,smile
66,aim
67,must
68,missed
69,always
70,chorusellie
71,goulding
72,i've
73,got
74,plan
75,artist
76,make
77,clay
78,writer
79,decide
80,words
81,say
82,i'd
83,rather
84,pretend
85,i'll
86,still
87,end
88,hard
89,ask
90,try
91,help
92,bridgeellie
93,goulding
94,wait
95,wait
96,casting
97,shadows
98,interrupted
99,wait
100,wait
101,casting
102,shadows
103,interrupted
104,wait
105,wait
106,casting
107,shadows
108,interrupted
109,wait
110,wait
111,casting
112,shadows
113,ellie
114,goulding
115,i've
116,got
117,plan
118,artist
119,make
120,clay
121,writer
122,decide
123,words
124,say
125,i'd
126,rather
127,pretend
128,i'll
129,still
130,end
131,hard
132,ask
133,try
134,help
135,ellie
136,goulding
137,i've
138,got
139,plan
140,don’t
141,artist
142,make
143,clay
144,don’t
145,writer
146,decide
147,words
148,say
149,‘cause
150,i’d
151,rather
152,pretend
153,i’ll
154,still
155,end
156,it’s
157,hard
158,ask
159,try
160,help
