,Songbird_Fleetwood Mac
0,there'll
1,crying
2,sun
3,shining
4,feel
5,i'm
6,alright
7,know
8,right
9,i'll
10,give
11,world
12,i'll
13,never
14,cold
15,'cause
16,feel
17,i'm
18,alright
19,know
20,right
21,songbirds
22,singing
23,like
24,know
25,score
26,love
27,love
28,love
29,like
30,never
31,wish
32,love
33,world
34,wish
35,songbirds
36,keep
37,singing
38,like
39,know
40,score
41,love
42,love
43,love
44,like
45,never
46,like
47,never
48,like
49,never
