,No Name No. 5_Elliott Smith
0,got
1,bitten
2,fingernails
3,head
4,full
5,past
6,everybody's
7,gone
8,last
9,sweet
10,sweet
11,smile
12,that's
13,fading
14,fast
15,'cause
16,everybody's
17,gone
18,last
19,get
20,upset
21,anymore
22,there's
23,nothing
24,wrong
25,wrong
26,second
27,alone
28,chance
29,let
30,pass
31,everybody's
32,gone
33,last
34,hope
35,waiting
36,waiting
37,'round
38,'cause
39,i'm
40,going
41,anywhere
42,obviously
43,got
44,broken
45,heart
46,name
47,cast
48,everybody's
49,gone
50,last
51,everybody's
52,gone
53,last
