,She's A Lady_Forever the Sickest Kids
0,i'm
1,love
2,girl
3,hate
4,enjoys
5,pointing
6,every
7,bad
8,thing
9,i'm
10,love
11,critic
12,skeptic
13,traitor
14,i'd
15,trade
16,second
17,backseat
18,driver
19,drama
20,provider
21,instant
22,update
23,world
24,first
25,class
26,liar
27,constant
28,forgetter
29,attractive
30,bitter
31,prechorus
32,scream
33,enough
34,make
35,cry
36,turn
37,around
38,turn
39,around
40,baby
41,return
42,think
43,i'm
44,worth
45,time
46,lady
47,ladies
48,messed
49,lady
50,ladies
51,messed
52,take
53,shoes
54,come
55,room
56,baby
57,let's
58,try
59,argue
60,turn
61,lights
62,turn
63,radio
64,fight
65,i'm
66,busy
67,loving
68,i'm
69,busy
70,loving
71,i'm
72,busy
73,loving
74,prechorus
75,scream
76,enough
77,make
78,cry
79,turn
80,around
81,turn
82,around
83,baby
84,return
85,think
86,i'm
87,worth
88,time
89,lady
90,ladies
91,messed
92,lady
93,ladies
94,messed
95,go
96,ever
97,eighteen
98,i'm
99,worn
100,fighting
101,every
102,night
103,leave
104,crying
105,could
106,use
107,time
108,go
109,i'm
110,dying
111,i'm
112,waiting
113,waiting
114,come
115,back
116,come
117,back
118,i'll
119,take
120,gladly
121,well
122,i'll
123,take
124,time
125,prechorus
126,scream
127,enough
128,make
129,cry
130,turn
131,around
132,turn
133,around
134,baby
135,return
136,think
137,i'm
138,worth
139,time
140,scream
141,enough
142,make
143,cry
144,turn
145,around
146,turn
147,around
148,baby
149,return
150,think
151,i'm
152,worth
153,time
154,lady
155,ladies
156,messed
157,lady
158,ladies
159,messed
