,Here with Me_The Killers
0,wheels
1,turnin'
2,remember
3,mine
4,reach
5,baby
6,i'd
7,stand
8,line
9,there's
10,another
11,world
12,we're
13,livin'
14,tonight
15,there's
16,another
17,heart
18,that's
19,fadin'
20,light
21,want
22,picture
23,cell
24,phone
25,want
26,want
27,memories
28,head
29,want
30,spent
31,summer
32,layin'
33,sun
34,time
35,seems
36,move
37,slowly
38,taking
39,comes
40,maybe
41,young
42,body
43,tan
44,hair
45,long
46,shot
47,smile
48,cares
49,gone
50,fallin'
51,love
52,filled
53,soul
54,fright
55,said
56,come
57,babe
58,it'll
59,alright
60,must've
61,fool
62,bitter
63,end
64,hold
65,hope
66,i'll
67,back
68,i'd
69,bargain
70,i'd
71,fight
72,there's
73,another
74,world
75,livin'
76,tonight
77,want
78,picture
79,cell
80,phone
81,want
82,want
83,memory
84,head
85,want
86,well
87,saw
88,restaurant
89,day
90,instead
91,walkin'
92,towards
93,ran
94,away
95,ran
96,away
97,keep
98,waitin'
99,come
100,around
101,come
102,around
103,say
104,want
105,picture
106,cell
107,phone
108,want
109,need
110,memories
111,head
112,want
113,ahhhhh
114,ahhhhh
