,We Belong Together_Mariah Carey
0,ooh
1,oh
2,oh
3,sweet
4,love
5,yeah
6,mean
7,said
8,love
9,held
10,tight
11,never
12,let
13,go
14,know
15,nothing
16,stupid
17,foolish
18,lying
19,couldn’t
20,fathomed
21,would
22,ever
23,without
24,love
25,never
26,imagined
27,i'd
28,sitting
29,beside
30,'cause
31,didn’t
32,know
33,'cause
34,didn’t
35,know
36,thought
37,knew
38,everything
39,never
40,felt
41,prechorus
42,feeling
43,i’m
44,feeling
45,don’t
46,hear
47,voice
48,touch
49,kiss
50,lips
51,‘cause
52,don’t
53,choice
54,oh
55,wouldn’t
56,give
57,lying
58,side
59,right
60,’cause
61,baby
62,left
63,lost
64,part
65,still
66,hard
67,believe
68,come
69,back
70,baby
71,please
72,‘cause
73,belong
74,together
75,else
76,gonna
77,lean
78,times
79,get
80,rough
81,who’s
82,gonna
83,talk
84,phone
85,'til
86,sun
87,comes
88,who’s
89,gonna
90,take
91,place
92,ain't
93,nobody
94,better
95,oh
96,baby
97,baby
98,belong
99,together
100,can't
101,sleep
102,night
103,mind
104,bobby
105,womack's
106,radio
107,singing
108,think
109,lonely
110,wait
111,minute
112,deep
113,deep
114,gotta
115,change
116,station
117,turn
118,dial
119,tryin'
120,catch
121,break
122,hear
123,babyface
124,think
125,breaking
126,heart
127,i'm
128,tryna
129,keep
130,together
131,i'm
132,falling
133,apart
134,prechorus
135,i'm
136,feeling
137,element
138,throwing
139,things
140,cryin'
141,tryin'
142,figure
143,hell
144,went
145,wrong
146,pain
147,reflected
148,song
149,ain't
150,even
151,half
152,i'm
153,feeling
154,inside
155,need
156,need
157,back
158,life
159,baby
160,left
161,lost
162,part
163,still
164,hard
165,believe
166,come
167,back
168,baby
169,please
170,‘cause
171,belong
172,together
173,else
174,gonna
175,lean
176,times
177,get
178,rough
179,who’s
180,gonna
181,talk
182,phone
183,'til
184,sun
185,comes
186,who’s
187,gonna
188,take
189,place
190,ain't
191,nobody
192,better
193,oh
194,baby
195,baby
196,belong
197,together
198,baby
199,left
200,lost
201,part
202,still
203,hard
204,believe
205,come
206,back
207,baby
208,please
209,‘cause
210,belong
211,together
212,gonna
213,lean
214,times
215,get
216,rough
217,who’s
218,gonna
219,talk
220,'til
221,sun
222,comes
223,who’s
224,gonna
225,take
226,place
227,ain't
228,nobody
229,better
230,oh
231,baby
232,baby
233,belong
234,together
