,Everything Will Be Alright_The Killers
0,doodoo
1,doodoo
2,believe
3,i'm
4,coming
5,find
6,takes
7,night
8,wrong
9,make
10,right
11,forget
12,least
13,i'll
14,try
15,run
16,run
17,tonight
18,everything
19,alright
20,everything
21,alright
22,everything
23,alright
24,everything
25,alright
26,everything
27,alright
28,everything
29,alright
30,alright
31,alright
32,alright
33,alright
34,shopping
35,doll
36,say
37,least
38,thought
39,i'd
40,seen
41,took
42,surprise
43,i'm
44,dreaming
45,'bout
46,dreamy
47,eyes
48,never
49,knew
50,never
51,knew
52,take
53,suitcase
54,'cause
55,mind
56,baby
57,doll
58,meant
59,every
60,time
61,need
62,compromise
63,i'm
64,dreaming
65,'bout
66,dreamy
67,eyes
68,never
69,knew
70,never
71,knew
72,alright
73,alright
74,everything
75,alright
76,everything
77,alright
78,everything
79,alright
80,everything
81,alright
82,everything
83,alright
84,everything
85,alright
86,everything
87,alright
88,everything
89,alright
90,everything
91,alright
92,everything
93,alright
94,everything
95,alright
96,everything
97,alright
98,alright
