,I'll Be_Edwin McCain
0,strands
1,eyes
2,color
3,wonderful
4,stop
5,steal
6,breath
7,emeralds
8,mountains
9,thrust
10,towards
11,sky
12,never
13,revealing
14,depth
15,prechorus
16,tell
17,belong
18,together
19,dress
20,trappings
21,love
22,i'll
23,captivated
24,i'll
25,hang
26,lips
27,instead
28,gallows
29,heartache
30,hang
31,i'll
32,cryin'
33,shoulder
34,i'll
35,love's
36,suicide
37,i'll
38,better
39,i'm
40,older
41,i'll
42,greatest
43,fan
44,life
45,rain
46,falls
47,angry
48,tin
49,roof
50,lie
51,awake
52,bed
53,survival
54,living
55,proof
56,love
57,alive
58,dead
59,prechorus
60,tell
61,belong
62,together
63,dress
64,trappings
65,love
66,i'll
67,captivated
68,i'll
69,hang
70,lips
71,instead
72,gallows
73,heartache
74,hang
75,i'll
76,cryin'
77,shoulder
78,i'll
79,love's
80,suicide
81,i'll
82,better
83,i'm
84,older
85,i'll
86,greatest
87,fan
88,life
89,i've
90,dropped
91,i've
92,burned
93,i've
94,fought
95,way
96,back
97,dead
98,tuned
99,turned
100,remembered
101,thing
102,said
103,i'll
104,cryin'
105,shoulder
106,i'll
107,love's
108,suicide
109,i'll
110,better
111,i'm
112,older
113,i'll
114,greatest
115,fan
116,life
117,i'll
118,cryin'
119,shoulder
120,i'll
121,love's
122,suicide
123,i'll
124,better
125,i'm
126,older
127,i'll
128,greatest
129,fan
130,life
131,greatest
132,fan
133,life
134,saxophone
135,solo
