,My Oh My_David Gray
0,earth
1,going
2,heart
3,turned
4,cold
5,stone
6,seems
7,days
8,feel
9,anything
10,‘less
11,cuts
12,right
13,bone
14,earth
15,going
16,heart
17,oh
18,know
19,stop
20,mind
21,wanna
22,tear
23,i've
24,tried
25,fight
26,tried
27,turn
28,enough
29,takes
30,lotta
31,love
32,takes
33,lotta
34,love
35,friend
36,keep
37,heart
38,freezing
39,push
40,‘til
41,end
42,oh
43,earth
44,going
45,head
46,know
47,used
48,sure
49,know
50,used
51,definite
52,thought
53,knew
54,love
55,look
56,around
57,days
58,i'm
59,sure
60,oh
61,know
62,stop
63,mind
64,wanna
65,tear
66,i've
67,tried
68,fight
69,tried
70,turn
71,enough
72,takes
73,lotta
74,love
75,takes
76,lotta
77,love
78,friend
79,keep
80,heart
81,freezing
82,push
83,till
84,end
85,oh
86,know
87,can't
88,win
89,burn
90,comes
91,right
92,back
93,kinda
94,world
95,we're
96,living
97,never
98,win
99,takes
100,lotta
101,love
102,takes
103,lotta
104,love
105,days
106,keep
107,heart
108,freezing
109,keep
110,spirit
111,free
112,oh
113,oh
114,know
115,stop
116,mind
117,wanna
118,tear
119,i've
120,tried
121,fight
122,tried
123,turn
124,enough
125,takes
126,lotta
127,love
128,takes
129,lotta
130,love
131,friend
132,keep
133,heart
134,freezing
135,push
136,till
137,end
138,oh
139,know
140,stop
141,oh
142,know
143,stop
144,don’t
145,oh
146,know
147,stop
148,oh
149,oh
150,know
151,stop
152,oh
153,oh
154,know
155,stop
156,well
157,oh
158,know
159,stop
160,oh
161,oh
162,oh
163,know
164,stop
165,oh
166,know
167,stop
