,A Lack of Color_Death Cab for Cutie
0,see
1,really
2,see
3,upside
4,brain
5,knows
6,better
7,picks
8,turns
9,around
10,turns
11,around
12,turns
13,around
14,feel
15,discouraged
16,there's
17,lack
18,color
19,please
20,worry
21,lover
22,really
23,bursting
24,seams
25,absorbing
26,everything
27,spectrums
28,z
29,fact
30,fiction
31,first
32,time
33,years
34,girls
35,every
36,girly
37,magazine
38,can't
39,make
40,feel
41,less
42,alone
43,i'm
44,reaching
45,phone
46,call
47,703
48,machine
49,slur
50,plea
51,come
52,home
53,know
54,late
55,given
56,reason
57,stay
58,given
59,reason
60,stay
61,given
62,reason
63,stay
64,given
65,reason
66,stay
67,fact
68,fiction
69,first
70,time
71,years
