,Lean on Me_Bill Withers
0,hmm
1,hmm
2,hmm
3,hmm
4,hmm
5,hmm
6,hmm
7,hmm
8,hmm
9,hmm
10,hmm
11,hmm
12,hmm
13,hmm
14,sometimes
15,lives
16,pain
17,sorrow
18,wise
19,know
20,there's
21,always
22,tomorrow
23,lean
24,strong
25,i'll
26,friend
27,i'll
28,help
29,carry
30,long
31,'til
32,i'm
33,gonna
34,need
35,somebody
36,lean
37,please
38,swallow
39,pride
40,things
41,need
42,borrow
43,one
44,fill
45,needs
46,let
47,show
48,call
49,brother
50,need
51,hand
52,need
53,somebody
54,lean
55,might
56,problem
57,understand
58,need
59,somebody
60,lean
61,lean
62,strong
63,i'll
64,friend
65,i'll
66,help
67,carry
68,long
69,'til
70,i'm
71,gonna
72,need
73,somebody
74,lean
75,call
76,brother
77,need
78,hand
79,need
80,somebody
81,lean
82,might
83,problem
84,understand
85,need
86,somebody
87,lean
88,load
89,bear
90,can't
91,carry
92,i'm
93,right
94,road
95,i'll
96,share
97,load
98,call
99,call
100,need
101,friend
102,call
103,call
104,uhuh
105,uhuh
106,call
107,need
108,friend
109,call
110,ever
111,need
112,friend
113,call
114,call
115,call
116,call
117,call
118,call
119,call
120,call
121,call
122,need
123,friend
124,call
125,call
126,call
127,call
128,call
129,call
130,call
131,call
132,call
