,Just the Way You Are_Bruno Mars
0,oh
1,eyes
2,eyes
3,make
4,stars
5,look
6,like
7,they're
8,shinin'
9,hair
10,hair
11,falls
12,perfectly
13,without
14,trying
15,beautiful
16,tell
17,every
18,day
19,yeah
20,know
21,know
22,compliment
23,believe
24,sad
25,think
26,see
27,see
28,every
29,time
30,asks
31,look
32,okay
33,say
34,see
35,face
36,there's
37,thing
38,would
39,change
40,'cause
41,amazing
42,way
43,smile
44,whole
45,world
46,stops
47,stares
48,'cause
49,girl
50,amazing
51,way
52,lips
53,lips
54,could
55,kiss
56,day
57,she'd
58,let
59,laugh
60,laugh
61,hates
62,think
63,sexy
64,beautiful
65,tell
66,every
67,day
68,oh
69,know
70,know
71,know
72,i'd
73,never
74,ask
75,change
76,perfect's
77,searching
78,stay
79,even
80,bother
81,asking
82,look
83,okay
84,know
85,i'll
86,say
87,see
88,face
89,there's
90,thing
91,would
92,change
93,'cause
94,amazing
95,way
96,smile
97,whole
98,world
99,stops
100,stares
101,'cause
102,girl
103,amazing
104,way
105,postchorus
106,way
107,way
108,girl
109,amazing
110,way
111,see
112,face
113,there's
114,thing
115,would
116,change
117,'cause
118,amazing
119,way
120,smile
121,whole
122,world
123,stops
124,stares
125,'cause
126,girl
127,amazing
128,way
129,yeah
