,Passive Aggressive_Placebo
0,reach
1,concentrate
2,reach
3,concentrate
4,deny
5,fault
6,god's
7,crisis
8,he's
9,reach
10,concentrate
11,reach
12,concentrate
13,deny
14,fault
15,god's
16,crisis
17,he's
18,every
19,time
20,rise
21,see
22,falling
23,find
24,space
25,inside
26,bleeding
27,heart
28,every
29,time
30,rise
31,see
32,falling
33,find
34,space
35,find
36,space
37,reach
38,concentrate
39,reach
40,concentrate
41,deny
42,fault
43,god's
44,crisis
45,he's
46,every
47,time
48,rise
49,see
50,falling
51,find
52,space
53,inside
54,bleeding
55,heart
56,every
57,time
58,rise
59,see
60,falling
61,find
62,space
63,inside
64,bleeding
65,heart
66,falls
67,apart
68,falls
69,apart
70,falls
71,apart
72,every
73,time
74,rise
75,see
76,falling
77,find
78,space
79,inside
80,bleeding
81,heart
82,every
83,time
84,rise
85,see
86,falling
87,find
88,space
89,inside
90,bleeding
91,heart
92,falls
93,apart
94,falls
95,apart
96,falls
97,apart
