,Thirty-Three_The Smashing Pumpkins
0,speak
1,language
2,hear
3,humor
4,go
5,deep
6,thought
7,forgive
8,everyone
9,cluttered
10,streets
11,greet
12,know
13,can't
14,late
15,supper's
16,waiting
17,table
18,tomorrow's
19,excuse
20,away
21,pull
22,collar
23,face
24,cold
25,earth
26,laughs
27,beneath
28,heavy
29,feet
30,blasphemy
31,old
32,jangly
33,walk
34,steeple
35,guide
36,heart
37,home
38,sun
39,prechorus
40,know
41,i'll
42,make
43,love
44,last
45,forever
46,graceful
47,swans
48,never
49,topple
50,earth
51,make
52,last
53,forever
54,make
55,last
56,forever
57,make
58,last
59,moment
60,lose
61,wrapped
62,pleasures
63,world
64,i've
65,journeyed
66,back
67,old
68,haunts
69,still
70,find
71,friends
72,mysteries
73,ready
74,reveal
75,sympathies
76,i'm
77,ready
78,return
79,prechorus
80,i'll
81,make
82,effort
83,love
84,last
85,forever
86,graceful
87,swans
88,never
89,topple
90,earth
91,tomorrow's
92,excuse
93,tomorrow's
94,excuse
95,make
96,last
97,forever
98,make
99,last
100,forever
101,make
102,last
103,forever
104,forever
