,Sextape_Deftones
0,floating
1,underwater
2,ever
3,changing
4,picture
5,hours
6,land
7,tune
8,dreams
9,ocean
10,takes
11,watch
12,shake
13,watch
14,wave
15,powers
16,tempt
17,hours
18,pleasure
19,prechorus
20,take
21,one
22,time
23,take
24,one
25,wave
26,take
27,one
28,last
29,ride
30,i'm
31,head
32,tonight
33,tonight
34,tonight
35,tonight
36,sound
37,waves
38,collide
39,sound
40,waves
41,collide
42,sound
43,waves
44,collide
45,tonight
46,ride
47,cruising
48,city
49,hours
50,fusing
51,powers
52,here's
53,dreams
54,prechorus
55,take
56,one
57,time
58,take
59,one
60,wave
61,take
62,one
63,last
64,ride
65,i'm
66,head
67,tonight
68,tonight
69,tonight
70,tonight
71,sound
72,waves
73,collide
74,sound
75,waves
76,collide
77,sound
78,waves
79,collide
80,tonight
81,ride
