,SING_My Chemical Romance
0,sing
1,boy
2,got
3,see
4,tomorrow
5,brings
6,sing
7,girl
8,got
9,tomorrow
10,needs
11,every
12,time
13,want
14,count
15,use
16,voice
17,every
18,single
19,time
20,open
21,mouth
22,sing
23,boys
24,sing
25,girls
26,every
27,time
28,lose
29,sing
30,world
31,sing
32,heart
33,sing
34,till
35,nuts
36,sing
37,ones
38,hate
39,guts
40,sing
41,deaf
42,sing
43,blind
44,sing
45,everyone
46,left
47,behind
48,sing
49,world
50,sing
51,world
52,sing
53,boy
54,they're
55,going
56,sell
57,tomorrow
58,means
59,sing
60,girl
61,kill
62,tomorrow
63,brings
64,got
65,make
66,choice
67,music
68,drowns
69,raise
70,voice
71,every
72,single
73,time
74,try
75,shut
76,mouth
77,sing
78,boys
79,sing
80,girls
81,every
82,time
83,lose
84,sing
85,world
86,sing
87,heart
88,sing
89,till
90,nuts
91,sing
92,ones
93,hate
94,guts
95,sing
96,deaf
97,sing
98,blind
99,sing
100,everyone
101,left
102,behind
103,sing
104,world
105,sing
106,world
107,cleanedup
108,corporation
109,progress
110,dying
111,process
112,children
113,talk
114,living
115,webways
116,people
117,moving
118,sideways
119,tell
120,till
121,last
122,days
123,buy
124,motivation
125,generation
126,nothing
127,nothing
128,dead
129,scene
130,product
131,white
132,dream
133,singer
134,wanted
135,dancer
136,refuse
137,answer
138,talk
139,past
140,sir
141,wrote
142,ones
143,want
144,get
145,away
146,keep
147,running
148,sing
149,boys
150,sing
151,girls
152,every
153,time
154,lose
155,sing
156,world
157,sing
158,heart
159,sing
160,till
161,nuts
162,sing
163,ones
164,hate
165,guts
166,sing
167,deaf
168,sing
169,blind
170,sing
171,everyone
172,left
173,behind
174,sing
175,world
176,sing
177,world
178,got
179,see
180,tomorrow
181,brings
182,sing
183,world
184,sing
185,world
186,girl
187,got
188,tomorrow
189,needs
190,sing
191,world
192,sing
193,world
194,instrumental
