,My Superman_Santigold
0,hey
1,hey
2,hey
3,2x
4,well
5,you’re
6,liar
7,cues
8,wrong
9,can’t
10,count
11,ways
12,woo
13,watch
14,capture
15,can’t
16,hold
17,make
18,make
19,sense
20,3x
21,superman
22,make
23,fly
24,bless
25,soul
26,get
27,take
28,along
29,static
30,it’s
31,breaking
32,apart
33,can’t
34,stay
35,way
36,3x
37,superman
