,I'm Yours_Jason Mraz
0,well
1,done
2,done
3,bet
4,felt
5,tried
6,chill
7,hot
8,melted
9,fell
10,right
11,cracks
12,i'm
13,trying
14,get
15,back
16,cool
17,done
18,run
19,i'll
20,giving
21,bestest
22,nothing's
23,gonna
24,stop
25,divine
26,intervention
27,reckon
28,turn
29,win
30,learn
31,hesitate
32,cannot
33,wait
34,i'm
35,hmm
36,hey
37,hey
38,well
39,open
40,mind
41,see
42,like
43,open
44,plans
45,damn
46,free
47,look
48,heart
49,find
50,love
51,love
52,love
53,love
54,listen
55,music
56,moment
57,people
58,dance
59,sing
60,we're
61,one
62,big
63,family
64,godforsaken
65,right
66,loved
67,love
68,love
69,love
70,loved
71,hesitate
72,cannot
73,wait
74,i'm
75,sure
76,postchorus
77,there's
78,need
79,complicate
80,time
81,short
82,fate
83,i'm
84,ado
85,want
86,come
87,scooch
88,closer
89,dear
90,nibble
91,ear
92,asoo
93,da
94,ba
95,ba
96,ba
97,ba
98,bum
99,whoa
100,oh
101,oh
102,oh
103,whoa
104,oh
105,oh
106,oh
107,oh
108,whoa
109,whoa
110,whoa
111,uhhuh
112,hmm
113,i've
114,spending
115,way
116,long
117,checking
118,tongue
119,mirror
120,bending
121,backwards
122,try
123,see
124,clearer
125,breath
126,fogged
127,glass
128,drew
129,new
130,face
131,laughed
132,guess
133,i've
134,saying
135,ain't
136,better
137,reason
138,rid
139,vanities
140,go
141,seasons
142,aim
143,name
144,virtue
145,hesitate
146,cannot
147,wait
148,i'm
149,well
150,open
151,mind
152,see
153,like
154,hesitate
155,open
156,plans
157,damn
158,free
159,look
160,heart
161,find
162,cannot
163,wait
164,sky
165,i'm
166,sure
167,there's
168,please
169,please
170,please
171,need
172,oh
173,there's
174,need
175,complicate
176,reggae
177,time
178,'cause
179,time
180,short
181,short
182,oh
183,oh
184,fate
185,fate
186,i'm
187,ha
188,brr
189,da
190,ba
191,mmm
192,da
193,ba
194,bo
195,mmm
196,day
197,na
198,ch
199,doo
200,doo
201,ch
202,doo
203,doo
204,ch
205,doo
206,doo
207,mmm
208,doo
209,doo
210,hey
211,hey
212,oh
213,i'm
214,ohoh
215,i'm
216,ohohohoh
217,whoaohohoh
218,baby
219,believe
220,i'm
221,best
222,believe
223,best
224,believe
225,i'm
226,hmm
